2026-09-23T20:40:35Z outbox: {"ob-0a1c55d67e76cece": "held-awaiting-receipt", "ob-123556d802e0fa81": "held-awaiting-receipt", "ob-1b3aca09ef6680b0": "held-awaiting-receipt", "ob-237498d2de7f9da6": "held-awaiting-receipt", "ob-28ca4d8e69e1992d": "held-awaiting-receipt", "ob-52de30e4e2dec24a": "held-awaiting-receipt", "ob-5fea2da517feff80": "held-awaiting-receipt", "ob-6df985d8becc4cb9": "held-awaiting-receipt", "ob-7291b40d7bc8d834": "held-awaiting-receipt", "ob-72ca42ad83185ff8": "held-awaiting-receipt", "ob-7a0ea39b62168eba": "held-awaiting-receipt", "ob-a154415bab4fd4f9": "held-awaiting-receipt", "ob-b39ec2bc8e3d2054": "held-awaiting-receipt", "ob-bd097f12efe82582": "held-awaiting-receipt"}
2026-09-23T20:42:01Z due B01-w1.json: settled (recovered) {"decision": "recovered", "dedup": false, "timer": "deadline:B01-w1"}
2026-09-23T20:42:01Z due B02-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B02-w1"}
2026-09-23T20:42:01Z due B03-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B03-w1"}
2026-09-23T20:42:01Z due B04-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B04-w1"}
2026-09-23T20:42:01Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:01Z due backlog SATURATED: 10 deadline marker(s) unsettled for more than 20s (oldest 33s)
2026-09-23T20:42:01Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:01Z due backlog SATURATED: 10 deadline marker(s) unsettled for more than 20s (oldest 34s) (duty told within the last minute)
2026-09-23T20:42:01Z yield: ledger-lock budget spent; the rest continues in the next pass
2026-09-23T20:42:05Z due B05-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B05-w1"}
2026-09-23T20:42:05Z due B06-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B06-w1"}
2026-09-23T20:42:05Z due B07-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B07-w1"}
2026-09-23T20:42:05Z due B08-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B08-w1"}
2026-09-23T20:42:05Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:05Z due backlog SATURATED: 6 deadline marker(s) unsettled for more than 20s (oldest 38s) (duty told within the last minute)
2026-09-23T20:42:05Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:05Z due backlog SATURATED: 6 deadline marker(s) unsettled for more than 20s (oldest 38s) (duty told within the last minute)
2026-09-23T20:42:05Z yield: ledger-lock budget spent; the rest continues in the next pass
2026-09-23T20:42:09Z due B09-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B09-w1"}
2026-09-23T20:42:09Z due B10-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B10-w1"}
2026-09-23T20:42:09Z due B11-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B11-w1"}
2026-09-23T20:42:09Z due B12-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B12-w1"}
2026-09-23T20:42:09Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:09Z due backlog SATURATED: 2 deadline marker(s) unsettled for more than 20s (oldest 41s) (duty told within the last minute)
2026-09-23T20:42:09Z due: lock budget spent; remaining markers go to the next holder
2026-09-23T20:42:09Z due backlog SATURATED: 2 deadline marker(s) unsettled for more than 20s (oldest 41s) (duty told within the last minute)
2026-09-23T20:42:09Z yield: ledger-lock budget spent; the rest continues in the next pass
2026-09-23T20:42:11Z due B13-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B13-w1"}
2026-09-23T20:42:11Z due B14-w1.json: settled (interrupted) {"decision": "interrupted", "dedup": false, "timer": "deadline:B14-w1"}
agent-loop: pass skipped: E_LEDGER_BUSY: ledger /var/tmp/p12-rp-7Uqh/fx.db held by another writer for more than 1m0s
2026-09-23T20:43:55Z B01: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B02: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B03: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B04: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B05: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B06: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B07: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B08: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B09: no ack, duty sent 2026-09-23T20:43:46Z
2026-09-23T20:43:55Z B10: no ack, duty failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B10: no ack, director failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B11: no ack, duty failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B11: no ack, director failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B12: no ack, duty failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B12: no ack, director failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B13: no ack, duty failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B13: no ack, director failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B14: no ack, duty failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:43:55Z B14: no ack, director failed 2026-09-23T20:43:46Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B01: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B02: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B03: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B04: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B05: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B06: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B07: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B08: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B09: no ack, director sent 2026-09-23T20:44:16Z
2026-09-23T20:44:25Z B10: no ack, duty failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B10: no ack, director failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B11: no ack, duty failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B11: no ack, director failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B12: no ack, duty failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B12: no ack, director failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to D1 not started: the ledger-lock hold's budget is spent
2026-09-23T20:44:25Z B13: no ack, duty failed 2026-09-23T20:44:16Z: E_BUDGET_EXHAUSTED: wake to U1 not started: the ledger-lock hold's budget is spent
