ping b'{"ok": true, "status": "idle"}\n'
executing on kiln: []
kiln-outbox ex-P12-production-handoff-1-w1 P12-production-handoff-1 closed True
kiln-outbox ex-P13-liveplan-standin-1-w1 P13-liveplan-standin-1 closed True
kiln-outbox ex-P13-liveplan-repair-1-w1 P13-liveplan-repair-1 timed-out False
kiln-outbox ex-P13-liveplan-completion-1-w1 P13-liveplan-completion-1 timed-out False
kiln-outbox ex-R1-synthesis-1-w1 R1-synthesis-1 closed True
kiln-outbox ex-R1-synthesis-repair-1-w1 R1-synthesis-repair-1 closed True
kiln-outbox ex-R2-design-1-w1 R2-design-1 closed True
kiln-outbox ex-R2-design-repair-1-w1 R2-design-repair-1 closed True
kiln-outbox ex-R3-view-1-w1 R3-view-1 closed True
kiln-outbox ex-R4-task-1-w1 R4-task-1 closed True
kiln-outbox ex-R4-task-repair-1-w1 R4-task-repair-1 closed True
kiln-outbox ex-R6-plan-1-w1 R6-plan-1 closed True
kiln-outbox ex-R6-plan-repair-1-w1 R6-plan-repair-1 closed True
kiln-outbox ex-R7-oracle-1-w1 R7-oracle-1 closed True
kiln-outbox ex-R8-task-1-w1 R8-task-1 closed True
