provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.0821219984791242
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,1.9133136665914208
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,3.1801029999769526
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.516834000540257
bm25,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.2,1.0,0.6,576.4,87.0,2.0855867991485866
bm25,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1.0,1.0,547.0,82.0,1.3687849987036316
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,393.3333333333333,58.666666666666664,1.2965493333467748
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,2.7855429998453474
bm25,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,577.5,87.0,0.8728474995223223
bm25,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,401.0,58.75,1.8622800002958684
claude_mem_chroma_lsa,raw,conflict,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,,307.0,42.0,0.3997429994342383
claude_mem_chroma_lsa,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,383.0,55.333333333333336,0.5554180000520622
claude_mem_chroma_lsa,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,445.5,65.0,0.45768500058329664
claude_mem_chroma_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,166.0,25.0,0.39766050031175837
claude_mem_chroma_lsa,raw,procedure,0.4,0.4,0.08,0.4,0.4,0.08,0.4,1.0,402.8,59.4,0.43867800013686065
claude_mem_chroma_lsa,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,387.0,54.0,0.42972899973392487
claude_mem_chroma_lsa,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,173.66666666666666,27.333333333333332,0.44043766623265884
claude_mem_chroma_lsa,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,270.6666666666667,43.333333333333336,0.7467303336549472
claude_mem_chroma_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,0.4071294997629593
claude_mem_chroma_lsa,raw,temporal_current,0.25,0.25,0.05,0.125,0.25,0.0,0.0,1.0,348.75,52.5,0.4616062501554552
claude_mem_chroma_lsa_no_recency,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.3999330001533963
claude_mem_chroma_lsa_no_recency,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,604.0,87.0,0.4366420004468334
claude_mem_chroma_lsa_no_recency,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,474.5,64.5,0.3941750001104083
claude_mem_chroma_lsa_no_recency,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,498.5,70.0,0.34423949909978546
claude_mem_chroma_lsa_no_recency,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,586.2,87.8,0.3757469999982277
claude_mem_chroma_lsa_no_recency,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,0.40021399945544545
claude_mem_chroma_lsa_no_recency,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,423.0,59.666666666666664,0.35636100013410515
claude_mem_chroma_lsa_no_recency,raw,semantic,1.0,1.0,0.20000000000000004,0.7333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,0.3673376668302808
claude_mem_chroma_lsa_no_recency,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,0.48698500086175045
claude_mem_chroma_lsa_no_recency,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,498.75,75.0,0.3907795003215142
claude_mem_fts5_core,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.030294999305624515
claude_mem_fts5_core,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.05426866725125971
claude_mem_fts5_core,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.10785799986479105
claude_mem_fts5_core,raw,negative,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.019459999748505652
claude_mem_fts5_core,raw,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.03171600001223851
claude_mem_fts5_core,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.020630999642889947
claude_mem_fts5_core,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02717099960136693
claude_mem_fts5_core,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,4.212706666900583
claude_mem_fts5_core,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.20894000044791028
