provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.11609500000000139
agentmemory_core_lsa,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,418.0,62.333333333333336,0.6124209999999929
agentmemory_core_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.19592999999999705
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,455.0,66.0,0.12553400000000892
agentmemory_core_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.16,0.8,1.0,538.4,80.0,0.14815559999999833
agentmemory_core_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.11582500000000095
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,324.0,48.0,0.14668500000000032
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,568.3333333333334,89.33333333333333,0.26274033333333097
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,443.5,66.5,0.16957599999999928
agentmemory_core_lsa,raw,temporal_current,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.75,356.25,50.0,0.14274799999999743
agentmemory_remember_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.11165800000000559
agentmemory_remember_lsa,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,418.0,62.333333333333336,0.8244403333333375
agentmemory_remember_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.19598049999999745
agentmemory_remember_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,455.0,66.0,0.14556950000000768
agentmemory_remember_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.16,0.8,1.0,538.4,80.0,0.15422060000000215
agentmemory_remember_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.10973599999999806
agentmemory_remember_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,324.0,48.0,0.1094319999999982
agentmemory_remember_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,568.3333333333334,89.33333333333333,0.47407499999999914
agentmemory_remember_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,443.5,66.5,0.12633549999999616
agentmemory_remember_lsa,raw,temporal_current,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.75,356.25,50.0,0.20420574999999985
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.11761700079659931
bm25,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,392.0,60.333333333333336,0.1571669999975711
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,421.0,63.5,0.2199359996666317
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,375.0,58.0,0.15816299946891377
bm25,raw,procedure,0.8,0.8,0.16,0.8,0.8,0.2,1.0,0.8,489.2,74.2,0.18399720029265154
bm25,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1.0,1.0,547.0,82.0,0.13789699914923403
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,295.0,46.333333333333336,0.13280666704910496
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,0.20383400078571867
bm25,raw,temporal_asof,0.5,0.5,0.25,0.5,0.5,0.0,0.0,1.0,163.5,24.5,0.06457749987021089
bm25,raw,temporal_current,1.0,1.0,0.2,0.5625,1.0,0.2,1.0,0.5,342.0,49.5,0.16535949953322415
claude_mem_chroma_lsa,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,467.0,68.0,0.4116510008316254
claude_mem_chroma_lsa,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,444.3333333333333,67.66666666666667,0.4342149992832371
claude_mem_chroma_lsa,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,472.0,73.0,0.3920720000678557
claude_mem_chroma_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,442.5,69.0,0.39841099896875676
claude_mem_chroma_lsa,raw,procedure,0.4,0.4,0.08,0.4,0.4,0.08,0.4,1.0,471.6,72.4,0.4240042002493283
claude_mem_chroma_lsa,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,428.0,64.0,0.43494600140547846
claude_mem_chroma_lsa,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,449.6666666666667,69.33333333333333,0.3917579997505527
claude_mem_chroma_lsa,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,449.0,68.33333333333333,1.7258139996556565
claude_mem_chroma_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.38963799943303457
claude_mem_chroma_lsa,raw,temporal_current,0.25,0.25,0.05,0.25,0.25,0.0,0.0,1.0,471.75,70.75,0.4116659997634997
claude_mem_chroma_lsa_no_recency,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.3658420009742258
claude_mem_chroma_lsa_no_recency,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.4246306665057394
claude_mem_chroma_lsa_no_recency,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.39760949948686175
claude_mem_chroma_lsa_no_recency,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,349.0,54.0,0.41438500011281576
claude_mem_chroma_lsa_no_recency,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,0.3853555997920921
claude_mem_chroma_lsa_no_recency,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.40733400055614766
claude_mem_chroma_lsa_no_recency,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.38264766650778864
claude_mem_chroma_lsa_no_recency,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.415259666624479
claude_mem_chroma_lsa_no_recency,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.3911949997927877
claude_mem_chroma_lsa_no_recency,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,0.4025247499157558
claude_mem_fts5_core,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.020681998648797162
claude_mem_fts5_core,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.05452866632064494
claude_mem_fts5_core,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02981999932671897
claude_mem_fts5_core,raw,negative,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.020115498955419753
claude_mem_fts5_core,raw,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.024076400586636737
claude_mem_fts5_core,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.020461000531213358
claude_mem_fts5_core,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.024390332934369024
claude_mem_fts5_core,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.03666200003256866
claude_mem_fts5_core,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.05043649889557855
claude_mem_fts5_core,raw,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02106924966938095
dense_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.39856100011093076
dense_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.4494479999266332
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.37456449990713736
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.3716550008903141
dense_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,0.4142823996517109
dense_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.3754959998332197
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.37575633299032535
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.3928086662199348
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.3940089991374407
dense_lsa,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,0.4123164999327855
habitus,raw,conflict,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,,236.0,32.0,10.56049399994663
habitus,raw,exact,1.0,1.0,0.38888888888888884,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,221.0,33.666666666666664,14.467761999791643
habitus,raw,multihop,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,,265.5,38.5,10.916174999692885
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,191.0,30.5,10.653428500518203
habitus,raw,procedure,0.8,0.8,0.26666666666666666,0.7,0.8,0.13333333333333333,0.4,0.75,323.4,48.0,10.77304219979851
habitus,raw,protocol,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,349.0,52.0,12.032724000164308
habitus,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,208.0,32.333333333333336,10.718024332769952
habitus,raw,semantic,1.0,1.0,0.38888888888888884,0.7777777777777777,1.0,0.0,0.0,,347.3333333333333,54.0,10.716768999069851
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.5,36.5,10.78997949935001
habitus,raw,temporal_current,1.0,1.0,0.3333333333333333,0.875,1.0,0.0,0.0,1.0,239.0,35.5,10.682374499992875
hybrid_rrf,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.6462540004577022
hybrid_rrf,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,415.0,62.333333333333336,0.7372379999045128
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,448.0,63.0,0.7982885008459562
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,379.0,59.0,0.7435354991685017
hybrid_rrf,raw,procedure,1.0,1.0,0.2,0.8666666666666666,1.0,0.2,1.0,0.8,529.2,78.8,0.7734039998467779
hybrid_rrf,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.6697290009469725
hybrid_rrf,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,294.3333333333333,45.666666666666664,0.6906176671085026
hybrid_rrf,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,617.3333333333334,96.33333333333333,0.8141373327816837
hybrid_rrf,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.5400190002546879
hybrid_rrf,raw,temporal_current,1.0,1.0,0.2,0.55,1.0,0.2,1.0,0.25,337.25,48.25,0.7157462505347212
mem0_core_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.5108810000820085
mem0_core_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,1.221947000279518
mem0_core_lsa,raw,multihop,1.0,1.0,0.8,1.0,1.0,0.0,0.0,,328.5,45.5,0.4958630006512976
mem0_core_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.4694930003097397
mem0_core_lsa,raw,procedure,1.0,1.0,0.2866666666666667,0.9,1.0,0.2866666666666667,1.0,1.0,419.6,62.8,0.49726800025382545
mem0_core_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.5277459986245958
mem0_core_lsa,raw,scope,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,270.3333333333333,40.333333333333336,0.483251999564042
mem0_core_lsa,raw,semantic,1.0,1.0,0.5277777777777778,1.0,1.0,0.0,0.0,,339.6666666666667,53.333333333333336,0.5082869993202621
mem0_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,403.0,59.5,0.4605744989021332
mem0_core_lsa,raw,temporal_current,1.0,1.0,0.23333333333333334,0.6875,1.0,0.23333333333333334,1.0,0.5,301.75,42.75,0.4818347497348441
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,330.0,46.0,0.7337669994740281
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,431.6666666666667,63.666666666666664,29.425048999352537
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,388.0,53.0,0.6303105001279619
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,360.0,53.0,0.6239165004444658
membukkit,raw,procedure,1.0,1.0,0.2,0.26666666666666666,1.0,0.2,1.0,1.0,511.0,75.6,0.6133591999969212
