provider,mode,top_k,distractors,status,reason,n_cases,hit@5,recall@5,precision@5,mrr,all_relevant@5,prohibited@5,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms
bm25,raw,5,0,ok,,26.0,0.9166666666666666,0.8541666666666666,0.20416666666666666,0.84375,0.7916666666666666,0.125,0.5833333333333334,0.625,0.8,0.0,410.53846153846155,62.38461538461539,0.16168130773271863
tfidf_cosine,raw,5,0,ok,,26.0,0.875,0.8611111111111112,0.37777777777777777,0.7708333333333334,0.8333333333333334,0.1527777777777778,0.5833333333333334,0.625,0.6666666666666666,0.5,297.6923076923077,44.15384615384615,0.29384073080179335
dense_lsa,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8368055555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.8,0.5,420.5769230769231,61.61538461538461,0.4011242690467043
hybrid_rrf,raw,5,0,ok,,26.0,0.9583333333333334,0.9444444444444444,0.225,0.8555555555555555,0.9166666666666666,0.125,0.5833333333333334,0.625,0.7333333333333333,0.0,442.88461538461536,65.92307692307692,0.7282943462576861
habitus,raw,5,0,ok,,26.0,0.875,0.7986111111111112,0.3055555555555555,0.7847222222222222,0.75,0.09722222222222221,0.25,0.2916666666666667,0.9230769230769231,0.0,264.5769230769231,39.88461538461539,11.215952268965058
membukkit,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.26666666666666666,0.525,0.9583333333333334,0.125,0.5833333333333334,0.625,0.6666666666666666,0.0,410.5,60.30769230769231,3.953937384372134
agentmemory_core_lsa,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8680555555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.9333333333333333,0.0,444.7692307692308,65.6923076923077,0.21505034615384488
agentmemory_remember_lsa,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8680555555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.9333333333333333,0.0,444.7692307692308,65.6923076923077,0.2680358846153854
mem0_core_lsa,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.32708333333333334,0.8368055555555556,0.9583333333333334,0.16944444444444445,0.625,0.6666666666666666,0.8,0.5,347.03846153846155,51.19230769230769,0.5747932690820352
claude_mem_fts5_core,raw,5,0,ok,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.03051111511572694
claude_mem_chroma_lsa,raw,5,0,ok,,26.0,0.20833333333333334,0.20833333333333334,0.04166666666666667,0.1875,0.20833333333333334,0.016666666666666666,0.08333333333333333,0.08333333333333333,1.0,0.0,458.88461538461536,69.5,0.5626494229055914
claude_mem_chroma_lsa_no_recency,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8368055555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.8,0.0,435.46153846153845,64.03846153846153,0.39938638453280034
