provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.2319400000000087
agentmemory_core_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,603.0,87.0,1.7718863333333275
agentmemory_core_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,526.5,67.0,0.6023739999999691
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,467.5,68.0,0.3728875000000187
agentmemory_core_lsa,raw,procedure,0.2,0.2,0.04,0.1,0.2,0.04,0.2,0.0,585.8,87.8,0.3409848000000011
agentmemory_core_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,645.0,99.0,0.25258099999996375
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,402.3333333333333,56.666666666666664,0.30062700000000103
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777778,1.0,0.0,0.0,,444.6666666666667,68.33333333333333,0.4650713333333177
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,495.0,73.5,0.3933435000000145
agentmemory_core_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,488.25,73.75,0.48185175000003255
agentmemory_remember_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,432.0,59.0,0.11192900000003192
agentmemory_remember_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,1.0,455.0,71.0,0.5946666666666639
agentmemory_remember_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,524.5,68.0,0.16645049999996786
agentmemory_remember_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,471.5,69.0,0.1583934999999883
agentmemory_remember_lsa,raw,procedure,1.0,1.0,0.2,0.65,1.0,0.16,0.8,0.6,542.2,80.6,0.14332600000000184
agentmemory_remember_lsa,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,559.0,84.0,0.10965499999997519
agentmemory_remember_lsa,raw,scope,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.20000000000000004,1.0,1.0,374.6666666666667,55.333333333333336,0.11294033333335089
agentmemory_remember_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,511.0,79.0,0.1668253333333117
agentmemory_remember_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,482.0,71.5,0.15038150000000883
agentmemory_remember_lsa,raw,temporal_current,0.75,0.75,0.15000000000000002,0.4583333333333333,0.75,0.15000000000000002,0.75,0.3333333333333333,422.25,64.25,0.13033674999998368
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.2685139990935568
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,1.3885253332167242
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,2.17070549933851
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.5572900001643575
bm25,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.2,1.0,0.6,576.4,87.0,1.7967007996048778
bm25,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1.0,1.0,547.0,82.0,1.4608639994548867
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,393.3333333333333,58.666666666666664,1.291755666291768
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,2.007415333234045
bm25,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,577.5,87.0,0.6627700004173676
bm25,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,401.0,58.75,1.4399025003513088
claude_mem_chroma_lsa,raw,conflict,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,0.0,,307.0,42.0,4.497955000260845
claude_mem_chroma_lsa,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,383.0,55.333333333333336,0.5819913330924464
claude_mem_chroma_lsa,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,445.5,65.0,2.5740389992279233
claude_mem_chroma_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,166.0,25.0,0.5772255008196225
claude_mem_chroma_lsa,raw,procedure,0.4,0.4,0.08,0.4,0.4,0.08,0.4,1.0,402.8,59.4,0.43856779957422987
claude_mem_chroma_lsa,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,387.0,54.0,0.5189529983908869
claude_mem_chroma_lsa,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,173.66666666666666,27.333333333333332,0.35620766660334385
claude_mem_chroma_lsa,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,270.6666666666667,43.333333333333336,0.45711299996279803
claude_mem_chroma_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,0.6258289995457744
claude_mem_chroma_lsa,raw,temporal_current,0.25,0.25,0.05,0.125,0.25,0.0,0.0,1.0,348.75,52.5,1.5238319997479266
claude_mem_chroma_lsa_no_recency,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.4969180008629337
