provider,mode,top_k,distractors,status,reason,n_cases,hit@5,recall@5,precision@5,mrr,all_relevant@5,prohibited@5,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms
bm25,raw,5,450,ok,,26.0,0.7916666666666666,0.7291666666666666,0.16666666666666669,0.7083333333333334,0.6666666666666666,0.09166666666666667,0.4583333333333333,0.4583333333333333,0.6666666666666666,0.0,504.6923076923077,76.23076923076923,1.5506581536940827
tfidf_cosine,raw,5,450,ok,,26.0,0.7916666666666666,0.7777777777777778,0.2576388888888889,0.6875,0.75,0.10138888888888889,0.4166666666666667,0.4166666666666667,0.8181818181818182,0.5,431.2692307692308,63.07692307692308,0.3542000388104218
dense_lsa,raw,5,450,ok,,26.0,0.5833333333333334,0.5625,0.15,0.5083333333333333,0.5416666666666666,0.05,0.25,0.25,0.7777777777777778,0.5,490.2307692307692,72.38461538461539,0.6141327692323382
hybrid_rrf,raw,5,450,ok,,26.0,0.7083333333333334,0.6944444444444444,0.17500000000000002,0.625,0.6666666666666666,0.058333333333333334,0.2916666666666667,0.2916666666666667,0.7,0.0,520.8076923076923,77.88461538461539,2.337997461276805
habitus,raw,5,450,ok,,26.0,0.7916666666666666,0.7152777777777778,0.15833333333333335,0.7013888888888888,0.6666666666666666,0.025,0.125,0.125,0.9090909090909091,0.0,552.0384615384615,80.42307692307692,179.0610420766825
membukkit,raw,5,450,ok,,26.0,0.5833333333333334,0.5625,0.15555555555555556,0.32916666666666666,0.5416666666666666,0.04166666666666667,0.20833333333333334,0.20833333333333334,0.7777777777777778,0.0,485.3076923076923,71.38461538461539,2.5726591153355773
agentmemory_core_lsa,raw,5,450,ok,,26.0,0.5833333333333334,0.5486111111111112,0.14166666666666666,0.4930555555555556,0.5,0.04166666666666667,0.20833333333333334,0.20833333333333334,0.6666666666666666,0.0,507.96153846153845,74.38461538461539,0.556416000000002
agentmemory_remember_lsa,raw,5,450,ok,,26.0,0.7916666666666666,0.7777777777777778,0.19166666666666668,0.6076388888888888,0.75,0.11666666666666667,0.5416666666666666,0.5833333333333334,0.7142857142857143,0.0,475.7307692307692,70.61538461538461,0.19358880769230233
mem0_core_lsa,raw,5,450,ok,,26.0,0.5833333333333334,0.5625,0.15,0.5083333333333333,0.5416666666666666,0.05,0.25,0.25,0.7777777777777778,0.5,489.6923076923077,72.1923076923077,1.5174258462418668
claude_mem_fts5_core,raw,5,450,ok,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.056481038462572124
claude_mem_chroma_lsa,raw,5,450,ok,,26.0,0.20833333333333334,0.20833333333333334,0.04722222222222222,0.16666666666666666,0.20833333333333334,0.016666666666666666,0.08333333333333333,0.08333333333333333,1.0,0.5,339.9230769230769,50.65384615384615,0.9632768459106535
claude_mem_chroma_lsa_no_recency,raw,5,450,ok,,26.0,0.5833333333333334,0.5625,0.15,0.5083333333333333,0.5416666666666666,0.05,0.25,0.25,0.7777777777777778,0.0,513.8846153846154,75.57692307692308,0.9421926536630892
