provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,432.0,59.0,0.12005099999998947
agentmemory_core_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,1.0,455.0,71.0,0.8253990000000044
agentmemory_core_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,524.5,68.0,0.1834920000000011
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,471.5,69.0,0.155083999999988
agentmemory_core_lsa,raw,procedure,1.0,1.0,0.2,0.65,1.0,0.16,0.8,0.6,542.2,80.6,0.14937759999999117
agentmemory_core_lsa,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,559.0,84.0,0.15388200000001007
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.20000000000000004,1.0,1.0,374.6666666666667,55.333333333333336,0.147198666666687
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,511.0,79.0,0.18653499999999212
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,482.0,71.5,0.20604549999998767
agentmemory_core_lsa,raw,temporal_current,0.75,0.75,0.15000000000000002,0.4583333333333333,0.75,0.15000000000000002,0.75,0.3333333333333333,422.25,64.25,0.19535449999997923
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.1221130007470492
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,1.3889509997776865
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,2.3132030000851955
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.5256860006047646
