provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
habitus,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,526.0,75.0,187.61710899980244
habitus,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,585.0,86.66666666666667,179.98362900016218
habitus,raw,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,,538.5,75.5,176.99867999999697
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,500.0,74.5,185.6993589999547
habitus,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.04,0.2,0.75,618.6,90.0,183.11537800018414
habitus,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.0,0.0,1.0,601.0,91.0,177.3422930000379
habitus,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,433.0,61.0,182.98962833341648
habitus,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777777,1.0,0.0,0.0,,650.3333333333334,98.33333333333333,180.67518066648822
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,518.0,75.5,178.4507835000113
habitus,raw,temporal_current,0.75,0.75,0.15000000000000002,0.625,0.75,0.0,0.0,1.0,503.75,71.5,181.27454700015733
