provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,47.08225600006699,"['M156', 'M216', 'M336', 'M396', 'M456']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,632,89,2.1296160002748366,"['M091', 'M212', 'M391', 'M464', 'M473']",['M002'],[]
membukkit,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,627,95,2.0499960000961437,"['M220', 'M304', 'M364', 'M412', 'M448']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,587,86,2.0251280002412386,"['M006', 'M212', 'M025', 'M026', 'M030']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,682,97,1.897723999718437,"['M007', 'M093', 'M153', 'M213', 'M453']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,552,87,1.6888970003492432,"['M007', 'M008', 'M011', 'M316', 'M044']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,457,66,1.7103889995269128,"['M011', 'M213', 'M012', 'M333', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,597,85,1.5649689994461369,"['M113', 'M257', 'M269', 'M413', 'M473']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,1.6969090002021403,"['M083', 'M263', 'M323', 'M359', 'M419']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,2.6249889997416176,[],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,318,48,1.794478000192612,"['M009', 'M010', 'M191']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,514,67,1.9636540000647074,"['M017', 'M019', 'M296', 'M476', 'M042']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,500,69,2.2422279998863814,"['M097', 'M020', 'M022', 'M024', 'M428']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,635,84,1.8486889994164812,"['M092', 'M104', 'M212', 'M023', 'M464']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,593,90,1.5516880002905964,"['M109', 'M121', 'M169', 'M241', 'M481']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.6448900005343603,"['M091', 'M211', 'M271', 'M391', 'M451']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,548,83,1.6993830004139454,"['M088', 'M316', 'M036', 'M412', 'M448']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,560,80,2.278453000144509,"['M297', 'M028', 'M417', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,400,58,1.601785000275413,"['M111', 'M135', 'M303', 'M029', 'M030']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,437,63,1.5960850005285465,"['M269', 'M329', 'M031', 'M032', 'M473']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,391,55,1.9127069999740343,"['M094', 'M154', 'M334', 'M033', 'M034']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,1.6053700001066318,"['M255', 'M315', 'M375', 'M435', 'M495']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,486,66,1.8152789998566732,"['M075', 'M255', 'M375', 'M495', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,669,105,1.590005999787536,"['M091', 'M211', 'M391', 'M451', 'M475']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,599,85,1.9719370002349024,"['M113', 'M173', 'M353', 'M413', 'M473']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,491,74,1.9216000000596978,"['M255', 'M375', 'M457', 'M469', 'M050']",[],[]
