provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,486.0,66.0,1.997667000068759
membukkit,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,633.6666666666666,90.66666666666667,16.924174999985553
membukkit,raw,multihop,1.0,0.6666666666666666,0.4,0.75,0.0,0.0,0.0,,506.0,69.0,2.101188499636919
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,520.0,78.0,1.9479849997878773
membukkit,raw,procedure,0.4,0.4,0.08,0.1,0.4,0.04,0.2,1.0,601.2,88.4,2.032391000284406
membukkit,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,670.0,105.0,1.9722380002349382
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.25,1.0,0.20000000000000004,1.0,0.6666666666666666,409.3333333333333,58.666666666666664,1.9047010000576847
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,644.6666666666666,96.66666666666667,2.0128623336859164
membukkit,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,218.0,32.5,1.976734499749
membukkit,raw,temporal_current,0.25,0.25,0.05,0.08333333333333333,0.25,0.05,0.25,0.0,527.75,77.0,1.9757777499762597
