provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,321.0,42.0,0.25086799996643094
membukkit,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,1.0,305.6666666666667,47.333333333333336,17.125352000221028
membukkit,raw,multihop,0.5,0.3333333333333333,0.2,0.25,0.0,0.0,0.0,,450.0,65.0,0.3491365000627411
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,357.5,54.5,0.30396350030059693
membukkit,raw,procedure,0.2,0.2,0.04,0.05,0.2,0.0,0.0,1.0,439.8,65.4,0.3489659999104333
membukkit,raw,protocol,1.0,0.5,0.2,0.3333333333333333,0.0,0.0,0.0,1.0,488.0,71.0,0.2632059995448799
membukkit,raw,scope,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0.0,439.3333333333333,62.333333333333336,0.26794666670563555
membukkit,raw,semantic,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.4444444444444444,0.6666666666666666,0.0,0.0,,428.0,65.0,0.3881549998065263
membukkit,raw,temporal_asof,0.5,0.5,0.16666666666666666,0.16666666666666666,0.5,0.0,0.0,1.0,240.0,37.5,0.25905550000970834
membukkit,raw,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,322.75,47.75,0.290773250071652
