provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,423.0,63.0,0.6006550001984579
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,388.6666666666667,58.0,36.77820966640866
membukkit,raw,multihop,1.0,0.8333333333333333,0.5,0.75,0.5,0.0,0.0,,425.5,59.0,0.8603169999332749
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,396.5,57.0,0.7115075000001525
membukkit,raw,procedure,1.0,1.0,0.2,0.35,1.0,0.16,0.8,1.0,498.2,74.4,0.6897115999890957
membukkit,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.6183220002640155
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.3611111111111111,1.0,0.20000000000000004,1.0,0.6666666666666666,316.6666666666667,47.666666666666664,0.6850460000957052
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.6666666666666666,1.0,0.0,0.0,,538.3333333333334,83.0,0.8134529998642392
membukkit,raw,temporal_asof,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,198.5,27.0,0.6560944998454943
membukkit,raw,temporal_current,1.0,1.0,0.2,0.23333333333333334,1.0,0.15000000000000002,0.75,0.25,364.25,50.5,0.647292749818007
