provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,431,65,108.55217199969047,"['M001', 'M004', 'M019', 'M047', 'M050']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,488,70,1.1078299994551344,"['M002', 'M003', 'M022', 'M023', 'M024']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.6746270000803634,"['M005', 'M033', 'M034', 'M035', 'M036']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,568,86,0.9050850003404776,"['M006', 'M011', 'M025', 'M026', 'M045']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,506,75,0.7080969999151421,"['M003', 'M007', 'M022', 'M045', 'M046']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,541,88,0.8271769993370981,"['M001', 'M008', 'M023', 'M030', 'M045']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,365,53,0.6776809996154043,"['M006', 'M011', 'M012', 'M032', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,335,44,0.6251719996726024,"['M013', 'M022', 'M031', 'M032', 'M014']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.2,1.0,0.0,0,1.0,5,400,54,0.6815469996581669,"['M021', 'M022', 'M039', 'M014', 'M016']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,54,7,0.6227189996934612,['M013'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,343,47,0.6894699999975273,"['M006', 'M009', 'M010']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,430,62,0.8304419998239609,"['M017', 'M018', 'M019', 'M040', 'M045']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,421,56,0.8901920000425889,"['M003', 'M020', 'M022', 'M046', 'M047']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,545,83,0.7936060001156875,"['M001', 'M002', 'M019', 'M023', 'M024']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,644,94,0.7155579996833694,"['M006', 'M025', 'M026', 'M014', 'M046']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,553,82,0.651371999992989,"['M009', 'M027', 'M044', 'M046', 'M049']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,377,59,0.653125000098953,"['M005', 'M035', 'M036', 'M044', 'M045']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,372,54,0.6348970000544796,"['M013', 'M020', 'M036', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,402,56,0.5909909996262286,"['M006', 'M029', 'M030', 'M033', 'M014']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,229,36,0.7593240006826818,"['M030', 'M031', 'M032', 'M033', 'M034']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,319,51,0.7048229999782052,"['M026', 'M031', 'M032', 'M033', 'M034']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,357,51,0.6047710003258544,"['M033', 'M034', 'M014', 'M041', 'M042']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,423,63,0.6006550001984579,"['M026', 'M033', 'M034', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,0.6183220002640155,"['M009', 'M010', 'M027', 'M028', 'M037']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,418,65,0.5851920004715794,"['M004', 'M005', 'M023', 'M036', 'M014']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,375,49,0.8378229995287256,"['M003', 'M017', 'M018', 'M022', 'M040']",[],[]
