provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,1.3533309993363218
membukkit,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,1.0,604.0,87.0,18.4331180001512
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,474.5,64.5,1.3262960001156898
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,478.5,56.0,1.609860499684146
membukkit,raw,procedure,0.2,0.2,0.04,0.05,0.2,0.04,0.2,1.0,586.2,87.8,1.4363557997057796
membukkit,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,1.2961450001967023
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.3055555555555555,1.0,0.20000000000000004,1.0,0.6666666666666666,423.0,59.666666666666664,1.4244500001344325
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,1.3983236667627352
membukkit,raw,temporal_asof,0.5,0.5,0.25,0.25,0.5,0.0,0.0,1.0,166.5,25.5,1.3574025001616974
membukkit,raw,temporal_current,0.5,0.5,0.1,0.1125,0.5,0.05,0.25,0.5,498.75,75.0,1.4393772498806356
