provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.26308599999998705
agentmemory_core_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,603.0,87.0,1.9487863333333355
agentmemory_core_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,526.5,67.0,0.5290580000000205
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,467.5,68.0,0.39172099999998977
agentmemory_core_lsa,raw,procedure,0.2,0.2,0.04,0.1,0.2,0.04,0.2,0.0,585.8,87.8,0.39654400000001716
agentmemory_core_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,645.0,99.0,0.2588209999999549
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,402.3333333333333,56.666666666666664,0.3157599999999737
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777778,1.0,0.0,0.0,,444.6666666666667,68.33333333333333,0.7284523333333368
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,495.0,73.5,0.540379999999999
agentmemory_core_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,488.25,73.75,0.4383940000000024
agentmemory_remember_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,432.0,59.0,0.12048200000003817
agentmemory_remember_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,1.0,455.0,71.0,0.7036279999999996
agentmemory_remember_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,524.5,68.0,0.18011150000000953
agentmemory_remember_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,471.5,69.0,0.14813850000001594
agentmemory_remember_lsa,raw,procedure,1.0,1.0,0.2,0.65,1.0,0.16,0.8,0.6,542.2,80.6,0.15821079999999482
agentmemory_remember_lsa,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,559.0,84.0,0.11890900000003057
agentmemory_remember_lsa,raw,scope,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.20000000000000004,1.0,1.0,374.6666666666667,55.333333333333336,0.13734400000002248
agentmemory_remember_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,511.0,79.0,0.21148566666666588
agentmemory_remember_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,482.0,71.5,0.16998599999999442
agentmemory_remember_lsa,raw,temporal_current,0.75,0.75,0.15000000000000002,0.4583333333333333,0.75,0.15000000000000002,0.75,0.3333333333333333,422.25,64.25,0.15017624999998702
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.0964630000671605
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,1.389588666521983
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,2.5018474998432794
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.5429360000780434
bm25,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.2,1.0,0.6,576.4,87.0,1.8737129994406132
bm25,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1.0,1.0,547.0,82.0,1.3776980013062712
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,393.3333333333333,58.666666666666664,1.3077083325091128
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,2.0273563338074987
bm25,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,577.5,87.0,0.5892130002393969
bm25,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,401.0,58.75,1.8376182497377158
dense_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,4.723711999758962
dense_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,604.0,87.0,0.6780453331884928
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,474.5,64.5,0.6170049991851556
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,191.0,28.5,0.5351470008463366
dense_lsa,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,586.2,87.8,1.4382524001121055
dense_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,0.6200249990797602
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,423.0,59.666666666666664,0.606804665949312
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,1.9970779994764598
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,2.596289500615967
dense_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,498.75,75.0,0.6002350005474
habitus,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,526.0,75.0,178.3473520008556
habitus,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,585.0,86.66666666666667,179.4650563333562
habitus,raw,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,,538.5,75.5,181.2661574995218
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,500.0,74.5,183.11750150041917
habitus,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.04,0.2,0.75,618.6,90.0,184.47960299999977
habitus,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.0,0.0,1.0,601.0,91.0,174.65707099836436
habitus,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,433.0,61.0,183.584690000013
habitus,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777777,1.0,0.0,0.0,,650.3333333333334,98.33333333333333,181.76259200057152
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,518.0,75.5,178.9854814996943
habitus,raw,temporal_current,0.75,0.75,0.15000000000000002,0.625,0.75,0.0,0.0,1.0,503.75,71.5,184.41214150016094
hybrid_rrf,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,485.0,66.0,1.808587001505657
hybrid_rrf,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,624.3333333333334,93.66666666666667,9.03596066624838
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,461.0,67.0,6.969498499529436
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,430.0,66.5,2.0656989991039154
hybrid_rrf,raw,procedure,0.4,0.4,0.08,0.3,0.4,0.08,0.4,0.5,615.8,93.6,9.198487199682859
hybrid_rrf,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0.0,1.0,594.0,88.0,2.012324001043453
hybrid_rrf,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,382.6666666666667,54.666666666666664,1.9472430000557022
hybrid_rrf,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,605.6666666666666,94.0,5.526342332814238
hybrid_rrf,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,519.0,76.5,3.2652584995958023
hybrid_rrf,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.15000000000000002,0.75,0.3333333333333333,431.25,64.0,3.127940999547718
membukkit,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.8118249988910975
membukkit,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,1.0,604.0,87.0,5.6317206666183965
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,474.5,64.5,0.8931020001909928
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,441.0,63.5,0.8328210005856818
membukkit,raw,procedure,0.2,0.2,0.04,0.04,0.2,0.0,0.0,1.0,585.8,88.0,0.8938882005168125
