provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,414.0,57.0,12.240707990713418
agentmemory,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,482.0,64.33333333333333,8.973027657096585
agentmemory,raw,multihop,1.0,0.6666666666666666,0.4,1.0,0.5,0.0,0.0,,515.0,68.0,7.644312514457852
agentmemory,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,559.0,79.0,7.355750014539808
agentmemory,raw,procedure,1.0,1.0,0.2,0.8666666666666666,1.0,0.2,1.0,0.8,595.8,86.0,8.181333215907216
agentmemory,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,12.512875022366643
agentmemory,raw,scope,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,1.0,387.6666666666667,55.666666666666664,9.42675000987947
agentmemory,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,607.6666666666666,92.66666666666667,8.360680735980472
agentmemory,raw,temporal_asof,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.5,401.0,56.0,8.937604492530227
agentmemory,raw,temporal_current,1.0,1.0,0.2,0.625,1.0,0.2,1.0,0.25,395.5,56.5,8.603218768257648
