provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
agentmemory,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,575,79,10.386500041931868,"['M001', 'M492', 'M047', 'M462', 'M497']",['M001'],[]
agentmemory,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,466,54,6.773415952920914,"['M002', 'M003', 'M004', 'M498', 'M486']",['M002'],[]
agentmemory,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,405,60,9.759166976436973,"['M005', 'M496', 'M035', 'M036', 'M465']",['M005'],"['M035', 'M036']"
agentmemory,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,630,95,8.62229207996279,"['M006', 'M045', 'M026', 'M025', 'M047']",['M006'],[]
agentmemory,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,574,91,8.47591704223305,"['M007', 'M045', 'M046', 'M493', 'M047']",['M007'],[]
agentmemory,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,619,92,7.983833085745573,"['M008', 'M499', 'M010', 'M006', 'M496']",['M008'],[]
agentmemory,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,340,48,7.5215420220047235,"['M011', 'M012', 'M490', 'M029', 'M018']",['M012'],['M011']
agentmemory,raw,Q008,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,368,51,7.90375005453825,"['M013', 'M014', 'M497', 'M031', 'M032']",['M014'],['M013']
agentmemory,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,390,60,9.30670800153166,"['M016', 'M015', 'M491', 'M039', 'M018']",['M016'],['M015']
agentmemory,raw,Q010,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,432,59,7.5449589639902115,"['M014', 'M013', 'M497', 'M459', 'M031']",['M013'],['M014']
agentmemory,raw,Q011,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,370,53,10.330250021070242,"['M011', 'M012', 'M029', 'M495', 'M471']",['M011'],['M012']
agentmemory,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,558,77,8.857958018779755,"['M017', 'M441', 'M040', 'M477', 'M489']","['M017', 'M018', 'M019']",[]
agentmemory,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,472,59,6.430667010135949,"['M020', 'M022', 'M452', 'M464', 'M021']","['M020', 'M021', 'M022']",[]
agentmemory,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,571,73,7.482832996174693,"['M023', 'M024', 'M019', 'M474', 'M450']",['M023'],['M024']
agentmemory,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,695,104,9.497083025053144,"['M025', 'M026', 'M006', 'M493', 'M027']",['M025'],['M026']
agentmemory,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,570,83,9.110999992117286,"['M028', 'M009', 'M027', 'M499', 'M037']",['M027'],['M028']
agentmemory,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,576,85,7.144667091779411,"['M044', 'M496', 'M045', 'M441', 'M017']",['M044'],['M045']
agentmemory,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,567,85,7.671082974411547,"['M046', 'M047', 'M045', 'M492', 'M493']",['M046'],['M047']
agentmemory,raw,Q019,scope,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,455,64,10.36325003951788,"['M459', 'M029', 'M495', 'M471', 'M447']",['M029'],['M030']
agentmemory,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,307,46,8.382875006645918,"['M032', 'M031', 'M446', 'M030', 'M494']",['M032'],['M031']
agentmemory,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,401,57,9.534124983474612,"['M033', 'M034', 'M490', 'M459', 'M471']",['M033'],['M034']
agentmemory,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,484,67,9.680874994955957,"['M041', 'M042', 'M043', 'M492', 'M044']",['M042'],['M041']
agentmemory,raw,Q023,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,414,57,12.240707990713418,"['M042', 'M043', 'M041', 'M492', 'M034']",['M043'],[]
agentmemory,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1,1.0,5,530,77,12.512875022366643,"['M010', 'M028', 'M027', 'M009', 'M037']","['M009', 'M010']","['M037', 'M038']"
agentmemory,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,675,90,5.970790982246399,"['M453', 'M441', 'M489', 'M477', 'M465']",[],[]
agentmemory,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,443,68,8.740709046833217,"['M010', 'M009', 'M011', 'M027', 'M050']",[],[]
