provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.13496399878931697
bm25,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,392.0,60.333333333333336,0.16319966683416473
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,421.0,63.5,0.22410300061892485
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,375.0,58.0,0.16971600052784197
bm25,raw,procedure,0.8,0.8,0.16,0.8,0.8,0.2,1.0,0.8,489.2,74.2,0.18526339990785345
bm25,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1.0,1.0,547.0,82.0,0.15681699915148783
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,295.0,46.333333333333336,0.13397233306022827
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,2.935005999461282
bm25,raw,temporal_asof,0.5,0.5,0.25,0.5,0.5,0.0,0.0,1.0,163.5,24.5,0.056079499699990265
bm25,raw,temporal_current,1.0,1.0,0.2,0.5625,1.0,0.2,1.0,0.5,342.0,49.5,0.15816375025679008
claude_mem_chroma_lsa,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,467.0,68.0,0.48537200018472504
claude_mem_chroma_lsa,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,444.3333333333333,67.66666666666667,0.46311866693334497
claude_mem_chroma_lsa,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,472.0,73.0,0.37072449958941434
claude_mem_chroma_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,442.5,69.0,0.35538600059226155
claude_mem_chroma_lsa,raw,procedure,0.4,0.4,0.08,0.4,0.4,0.08,0.4,1.0,471.6,72.4,0.4483524004172068
claude_mem_chroma_lsa,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,428.0,64.0,0.3359969996381551
claude_mem_chroma_lsa,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,449.6666666666667,69.33333333333333,0.36049399932380766
claude_mem_chroma_lsa,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,449.0,68.33333333333333,0.4767393329530023
claude_mem_chroma_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.446263499725319
claude_mem_chroma_lsa,raw,temporal_current,0.25,0.25,0.05,0.25,0.25,0.0,0.0,1.0,471.75,70.75,0.39587225001014303
claude_mem_chroma_lsa_no_recency,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.34592200063343626
claude_mem_chroma_lsa_no_recency,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.43208900024183095
claude_mem_chroma_lsa_no_recency,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.35093499991489807
claude_mem_chroma_lsa_no_recency,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,349.0,54.0,0.316783000016585
claude_mem_chroma_lsa_no_recency,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,0.3379721998499008
claude_mem_chroma_lsa_no_recency,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.3071040009672288
claude_mem_chroma_lsa_no_recency,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.32111800040487043
claude_mem_chroma_lsa_no_recency,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.38991533377460047
claude_mem_chroma_lsa_no_recency,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.3190610004821792
claude_mem_chroma_lsa_no_recency,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,0.3343319990563032
claude_mem_fts5_core,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.016154001059476286
claude_mem_fts5_core,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.048115665777004324
claude_mem_fts5_core,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.023355499251920264
claude_mem_fts5_core,raw,negative,0.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.016164501175808255
claude_mem_fts5_core,raw,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.019116799740004353
claude_mem_fts5_core,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0165149995154934
claude_mem_fts5_core,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.019055666295268264
claude_mem_fts5_core,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.02805899991168796
claude_mem_fts5_core,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.042108500565518625
claude_mem_fts5_core,raw,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.016389749816880794
dense_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.371520998669439
dense_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.5033430006733397
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.36394400012795813
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.35950249912275467
dense_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,1.1486334005894605
dense_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.3516300002956996
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.34914366612307884
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.36638600067817606
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.33177099976455793
dense_lsa,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,1.379158750296483
tfidf_cosine,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,330.0,46.0,0.3433980000409065
tfidf_cosine,raw,exact,1.0,1.0,0.48333333333333334,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,1.0,272.0,41.0,0.3186243332796342
tfidf_cosine,raw,multihop,1.0,0.8333333333333333,0.8,1.0,0.5,0.0,0.0,,295.0,41.0,0.25460399956500623
tfidf_cosine,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,139.0,21.0,0.25290150006185286
tfidf_cosine,raw,procedure,0.8,0.8,0.25666666666666665,0.7,0.8,0.2966666666666667,1.0,0.6,394.6,59.0,0.2482244006387191
tfidf_cosine,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.30454000079771504
tfidf_cosine,raw,scope,1.0,1.0,0.21666666666666667,1.0,1.0,0.21666666666666667,1.0,1.0,280.6666666666667,42.666666666666664,0.2485986660758499
tfidf_cosine,raw,semantic,1.0,1.0,0.5833333333333334,1.0,1.0,0.0,0.0,,305.6666666666667,48.0,0.2888186663767556
tfidf_cosine,raw,temporal_asof,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,129.5,18.5,0.2866929999072454
tfidf_cosine,raw,temporal_current,0.75,0.75,0.18333333333333335,0.5,0.75,0.23333333333333334,1.0,0.25,301.25,43.5,6.483701500201278
