provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,77,0.17907199980982114,"['M001', 'M010', 'M046', 'M047', 'M028']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,417,65,0.1645400006964337,"['M002', 'M023', 'M024', 'M011', 'M041']",['M002'],[]
bm25,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.2108310000039637,"['M005', 'M036', 'M035', 'M034', 'M033']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,0.247376000515942,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,0.21825100066052983,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,0.1536230001875083,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,288,42,0.15791900023032213,"['M011', 'M012', 'M048', 'M041', 'M003']",['M012'],['M011']
bm25,raw,Q008,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,335,44,0.1699579997875844,"['M022', 'M032', 'M031', 'M014', 'M013']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,0.13539500014303485,"['M016', 'M039', 'M050', 'M022', 'M015']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,1.0,1.0,0.5,1.0,1.0,0.0,0,1.0,2,122,19,0.06431800011341693,"['M013', 'M015']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.045167999815021176,"['M010', 'M009']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,369,59,0.23770100051478948,"['M017', 'M040', 'M039', 'M045', 'M050']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,473,68,0.19685899951582542,"['M022', 'M045', 'M046', 'M047', 'M020']","['M020', 'M021', 'M022']",[]
bm25,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,465,70,0.15673799953219714,"['M023', 'M024', 'M019', 'M002', 'M011']",['M023'],['M024']
bm25,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,590,94,0.20492099974944722,"['M025', 'M044', 'M008', 'M026', 'M050']",['M025'],['M026']
bm25,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,408,57,0.18296799953532172,"['M028', 'M009', 'M039', 'M050', 'M022']",['M027'],['M028']
bm25,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,444,70,0.22640399947704282,"['M044', 'M045', 'M036', 'M005', 'M008']",['M044'],['M045']
bm25,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,539,80,0.16892599978746148,"['M046', 'M047', 'M045', 'M044', 'M028']",['M046'],['M047']
bm25,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,321,50,0.14268700033426285,"['M029', 'M030', 'M008', 'M031', 'M033']",['M029'],['M030']
bm25,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,230,36,0.21737999941251474,"['M032', 'M031', 'M034', 'M030', 'M039']",['M032'],['M031']
bm25,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,334,53,0.14760400063096313,"['M033', 'M034', 'M026', 'M031', 'M029']",['M033'],['M034']
bm25,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,404,60,0.15001800056779757,"['M041', 'M042', 'M012', 'M008', 'M034']",['M042'],['M041']
bm25,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,423,63,0.1184190005005803,"['M043', 'M026', 'M042', 'M034', 'M033']",['M043'],[]
