provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.14495800000000258
agentmemory_core_lsa,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,418.0,62.333333333333336,0.7938240000000055
agentmemory_core_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.19475850000000605
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,455.0,66.0,0.12217350000000238
agentmemory_core_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.16,0.8,1.0,538.4,80.0,0.16176400000000513
agentmemory_core_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.13804799999999773
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,324.0,48.0,0.11178166666665372
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,568.3333333333334,89.33333333333333,0.31224766666666426
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,443.5,66.5,0.14151849999999655
agentmemory_core_lsa,raw,temporal_current,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.75,356.25,50.0,0.13824599999999876
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.1811540005292045
bm25,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,392.0,60.333333333333336,0.16519899933579532
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,421.0,63.5,0.2820350000547478
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,375.0,58.0,0.16400750064349268
bm25,raw,procedure,0.8,0.8,0.16,0.8,0.8,0.2,1.0,0.8,489.2,74.2,0.18928540011984296
bm25,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1.0,1.0,547.0,82.0,0.14338700020744
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,295.0,46.333333333333336,0.19265066718313997
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,0.20662166692394143
bm25,raw,temporal_asof,0.5,0.5,0.25,0.5,0.5,0.0,0.0,1.0,163.5,24.5,0.05518849957297789
bm25,raw,temporal_current,1.0,1.0,0.2,0.5625,1.0,0.2,1.0,0.5,342.0,49.5,0.15575974975945428
dense_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.3890369989676401
dense_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.4917880002418921
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.5993359991407488
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.42208149989164667
dense_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,0.4294213998946361
dense_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.3693670005304739
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.3802670004612689
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.3689463325523927
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.33577649992366787
dense_lsa,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,0.39570924991494394
habitus,raw,conflict,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,,236.0,32.0,10.990237999067176
habitus,raw,exact,1.0,1.0,0.38888888888888884,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,221.0,33.666666666666664,10.269699333245322
habitus,raw,multihop,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,,265.5,38.5,10.832043999471352
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,191.0,30.5,10.97424899944599
habitus,raw,procedure,0.8,0.8,0.26666666666666666,0.7,0.8,0.13333333333333333,0.4,0.75,323.4,48.0,11.018160999446991
habitus,raw,protocol,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,349.0,52.0,10.867016999327461
habitus,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,208.0,32.333333333333336,11.693653999827802
habitus,raw,semantic,1.0,1.0,0.38888888888888884,0.7777777777777777,1.0,0.0,0.0,,347.3333333333333,54.0,10.82972399975309
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.5,36.5,10.854168001060316
habitus,raw,temporal_current,1.0,1.0,0.3333333333333333,0.875,1.0,0.0,0.0,1.0,239.0,35.5,11.42024125010721
hybrid_rrf,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.6607369996345369
hybrid_rrf,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,415.0,62.333333333333336,0.74937966686169
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,448.0,63.0,0.8038025007408578
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,379.0,59.0,0.7090144990797853
hybrid_rrf,raw,procedure,1.0,1.0,0.2,0.8666666666666666,1.0,0.2,1.0,0.8,529.2,78.8,0.7630925996636506
