provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,77,0.18150299911212642,"['M001', 'M010', 'M046', 'M047', 'M028']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,417,65,0.19297099970572162,"['M002', 'M023', 'M024', 'M011', 'M041']",['M002'],[]
bm25,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.12112299918953795,"['M005', 'M036', 'M035', 'M034', 'M033']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,0.25231100153177977,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,0.21811799888382666,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,0.14943600035621785,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,288,42,0.1595110006746836,"['M011', 'M012', 'M048', 'M041', 'M003']",['M012'],['M011']
bm25,raw,Q008,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,335,44,0.157496999236173,"['M022', 'M032', 'M031', 'M014', 'M013']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,0.13696599853574298,"['M016', 'M039', 'M050', 'M022', 'M015']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,1.0,1.0,0.5,1.0,1.0,0.0,0,1.0,2,122,19,0.0646680000500055,"['M013', 'M015']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.045708999095950276,"['M010', 'M009']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,369,59,0.3388010009075515,"['M017', 'M040', 'M039', 'M045', 'M050']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,473,68,0.2252689992019441,"['M022', 'M045', 'M046', 'M047', 'M020']","['M020', 'M021', 'M022']",[]
bm25,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,465,70,0.16288599908875767,"['M023', 'M024', 'M019', 'M002', 'M011']",['M023'],['M024']
bm25,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,590,94,0.1980380002351012,"['M025', 'M044', 'M008', 'M026', 'M050']",['M025'],['M026']
bm25,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,408,57,0.1895160003186902,"['M028', 'M009', 'M039', 'M050', 'M022']",['M027'],['M028']
bm25,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,444,70,0.22173400066094473,"['M044', 'M045', 'M036', 'M005', 'M008']",['M044'],['M045']
bm25,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,539,80,0.174253000295721,"['M046', 'M047', 'M045', 'M044', 'M028']",['M046'],['M047']
bm25,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,321,50,0.14417800048249774,"['M029', 'M030', 'M008', 'M031', 'M033']",['M029'],['M030']
bm25,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,230,36,0.2851799999916693,"['M032', 'M031', 'M034', 'M030', 'M039']",['M032'],['M031']
bm25,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,334,53,0.1485940010752529,"['M033', 'M034', 'M026', 'M031', 'M029']",['M033'],['M034']
bm25,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,404,60,0.16906500059121754,"['M041', 'M042', 'M012', 'M008', 'M034']",['M042'],['M041']
bm25,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,423,63,0.1811540005292045,"['M043', 'M026', 'M042', 'M034', 'M033']",['M043'],[]
bm25,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1,1.0,5,547,82,0.14338700020744,"['M010', 'M027', 'M028', 'M037', 'M008']","['M009', 'M010']","['M037', 'M038']"
bm25,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,329,48,0.2033870005107019,"['M036', 'M005', 'M004', 'M014', 'M013']",[],[]
bm25,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,421,68,0.12462800077628344,"['M050', 'M048', 'M016', 'M010', 'M044']",[],[]
tfidf_cosine,raw,Q001,exact,1.0,1.0,1.0,1.0,1.0,0.0,0,,1,113,18,0.43555599950195756,['M001'],['M001'],[]
tfidf_cosine,raw,Q002,exact,1.0,1.0,0.25,0.5,1.0,0.0,0,,4,401,60,0.3275839990237728,"['M003', 'M002', 'M023', 'M024']",['M002'],[]
tfidf_cosine,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,302,45,0.2779890000965679,"['M005', 'M036', 'M018', 'M035', 'M017']",['M005'],"['M035', 'M036']"
tfidf_cosine,raw,Q004,semantic,1.0,1.0,0.25,1.0,1.0,0.0,0,,4,535,81,0.27386299916543067,"['M006', 'M045', 'M025', 'M026']",['M006'],[]
tfidf_cosine,raw,Q005,semantic,1.0,1.0,0.5,1.0,1.0,0.0,0,,2,253,43,0.5364290009310935,"['M007', 'M045']",['M007'],[]
tfidf_cosine,raw,Q006,semantic,1.0,1.0,1.0,1.0,1.0,0.0,0,,1,129,20,0.28033200032950845,['M008'],['M008'],[]
tfidf_cosine,raw,Q007,temporal_current,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,1,0.0,3,187,30,0.3145040009258082,"['M011', 'M012', 'M048']",['M012'],['M011']
tfidf_cosine,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,333,47,0.3777090005314676,"['M032', 'M031', 'M022', 'M013', 'M045']",['M014'],['M013']
