provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.09725699999998483
agentmemory_core_lsa,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,418.0,62.333333333333336,0.690707999999996
agentmemory_core_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.17856449999999313
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,455.0,66.0,0.09778300000000684
agentmemory_core_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.16,0.8,1.0,538.4,80.0,0.14063600000000065
agentmemory_core_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.08874399999999127
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,324.0,48.0,0.21117166666665335
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,568.3333333333334,89.33333333333333,0.28391133333333113
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,443.5,66.5,0.14619100000000174
agentmemory_core_lsa,raw,temporal_current,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.75,356.25,50.0,0.1326497499999988
agentmemory_remember_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.12299500000000307
agentmemory_remember_lsa,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,418.0,62.333333333333336,0.46047733333332985
agentmemory_remember_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.18794350000000293
agentmemory_remember_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,455.0,66.0,0.11633500000000652
agentmemory_remember_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.16,0.8,1.0,538.4,80.0,0.13674020000000836
agentmemory_remember_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.11231899999998518
agentmemory_remember_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,324.0,48.0,0.103399666666661
agentmemory_remember_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,568.3333333333334,89.33333333333333,0.19974800000000434
agentmemory_remember_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,443.5,66.5,0.35956750000001136
agentmemory_remember_lsa,raw,temporal_current,1.0,1.0,0.2,0.75,1.0,0.2,1.0,0.75,356.25,50.0,0.1344777499999985
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.14334600018628407
bm25,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,392.0,60.333333333333336,0.16985966673625322
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,421.0,63.5,0.4087009992872481
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,375.0,58.0,0.17271549950237386
bm25,raw,procedure,0.8,0.8,0.16,0.8,0.8,0.2,1.0,0.8,489.2,74.2,0.21041319996584207
bm25,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1.0,1.0,547.0,82.0,0.14297500092652626
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,295.0,46.333333333333336,0.14195766683163433
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,0.22602099973786002
bm25,raw,temporal_asof,0.5,0.5,0.25,0.5,0.5,0.0,0.0,1.0,163.5,24.5,0.05666050037689274
bm25,raw,temporal_current,1.0,1.0,0.2,0.5625,1.0,0.2,1.0,0.5,342.0,49.5,0.1530107501821476
dense_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.41630799933045637
dense_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.4755739998169399
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,429.5,60.5,0.40243699913844466
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.4032934994029347
dense_lsa,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,519.2,77.2,0.39657820016145706
dense_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.37286299993866123
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,323.0,48.333333333333336,0.39043933369005873
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,576.0,88.33333333333333,0.4107186668989016
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.4052465001223027
dense_lsa,raw,temporal_current,1.0,1.0,0.2,0.6875,1.0,0.2,1.0,0.5,356.25,50.0,0.4042044997731864
habitus,raw,conflict,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,,236.0,32.0,10.68016299905139
habitus,raw,exact,1.0,1.0,0.38888888888888884,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,221.0,33.666666666666664,10.622059000525041
habitus,raw,multihop,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,,265.5,38.5,11.97558149942779
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,191.0,30.5,10.657243999958155
habitus,raw,procedure,0.8,0.8,0.26666666666666666,0.7,0.8,0.13333333333333333,0.4,0.75,323.4,48.0,10.92765240027802
habitus,raw,protocol,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,349.0,52.0,10.649707000993658
habitus,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,208.0,32.333333333333336,10.909802333117113
habitus,raw,semantic,1.0,1.0,0.38888888888888884,0.7777777777777777,1.0,0.0,0.0,,347.3333333333333,54.0,11.325386333434531
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.5,36.5,10.657533999619773
habitus,raw,temporal_current,1.0,1.0,0.3333333333333333,0.875,1.0,0.0,0.0,1.0,239.0,35.5,11.041117750210105
hybrid_rrf,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,0.6320430002233479
hybrid_rrf,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,415.0,62.333333333333336,0.7549483337546311
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,448.0,63.0,0.6621935008297442
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,379.0,59.0,0.5699394996554474
hybrid_rrf,raw,procedure,1.0,1.0,0.2,0.8666666666666666,1.0,0.2,1.0,0.8,529.2,78.8,0.6178917996294331
hybrid_rrf,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.6263750001380686
hybrid_rrf,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,294.3333333333333,45.666666666666664,0.5339046668571731
hybrid_rrf,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,617.3333333333334,96.33333333333333,0.6793243325470636
hybrid_rrf,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,466.5,65.0,0.45616799980052747
hybrid_rrf,raw,temporal_current,1.0,1.0,0.2,0.55,1.0,0.2,1.0,0.25,337.25,48.25,0.6621032503062452
mem0_core_lsa,raw,conflict,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0.0,,330.0,46.0,0.41483499990135897
mem0_core_lsa,raw,exact,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,0.0,418.0,62.333333333333336,0.676079334274012
mem0_core_lsa,raw,multihop,1.0,1.0,0.8,1.0,1.0,0.0,0.0,,328.5,45.5,2.5094535003518104
mem0_core_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,155.5,22.5,0.4076750001331675
mem0_core_lsa,raw,procedure,1.0,1.0,0.2866666666666667,0.9,1.0,0.2866666666666667,1.0,1.0,419.6,62.8,0.5081785999209387
mem0_core_lsa,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.3858620002574753
mem0_core_lsa,raw,scope,1.0,1.0,0.3,1.0,1.0,0.3,1.0,1.0,270.3333333333333,40.333333333333336,1.8718289999621145
mem0_core_lsa,raw,semantic,1.0,1.0,0.5277777777777778,1.0,1.0,0.0,0.0,,339.6666666666667,53.333333333333336,1.8654626668042813
mem0_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,403.0,59.5,0.4132980002395925
mem0_core_lsa,raw,temporal_current,1.0,1.0,0.23333333333333334,0.6875,1.0,0.23333333333333334,1.0,0.5,301.75,42.75,0.4290467495593475
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,330.0,46.0,0.5690079997293651
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,431.6666666666667,63.666666666666664,30.31962033370898
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,388.0,53.0,0.6044060000931495
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,360.0,53.0,0.5573805001404253
membukkit,raw,procedure,1.0,1.0,0.2,0.26666666666666666,1.0,0.2,1.0,1.0,511.0,75.6,0.5666586002917029
membukkit,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,0.7182230001490097
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.3611111111111111,1.0,0.20000000000000004,1.0,0.6666666666666666,323.0,48.333333333333336,0.6963433340085127
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,574.6666666666666,88.66666666666667,0.7238149998253599
membukkit,raw,temporal_asof,0.5,0.5,0.5,0.5,0.5,0.0,0.0,1.0,163.5,24.5,0.5817469991598045
membukkit,raw,temporal_current,1.0,1.0,0.2,0.24583333333333335,1.0,0.2,1.0,0.0,361.75,51.0,0.6465270002991019
tfidf_cosine,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,330.0,46.0,0.2346439996472327
tfidf_cosine,raw,exact,1.0,1.0,0.48333333333333334,0.8333333333333334,1.0,0.13333333333333333,0.6666666666666666,1.0,272.0,41.0,0.3781669996290778
tfidf_cosine,raw,multihop,1.0,0.8333333333333333,0.8,1.0,0.5,0.0,0.0,,295.0,41.0,0.2644734995556064
tfidf_cosine,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,139.0,21.0,0.24212500011344673
tfidf_cosine,raw,procedure,0.8,0.8,0.25666666666666665,0.7,0.8,0.2966666666666667,1.0,0.6,394.6,59.0,0.2624257998832036
