provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,77,0.18627099962031934,"['M001', 'M010', 'M046', 'M047', 'M028']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,417,65,0.19930100097553805,"['M002', 'M023', 'M024', 'M011', 'M041']",['M002'],[]
bm25,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.12400699961290229,"['M005', 'M036', 'M035', 'M034', 'M033']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,0.2762460007943446,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,0.22831499882158823,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,0.17350199959764723,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,288,42,0.1605120014573913,"['M011', 'M012', 'M048', 'M041', 'M003']",['M012'],['M011']
bm25,raw,Q008,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,335,44,0.16114299978653435,"['M022', 'M032', 'M031', 'M014', 'M013']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,0.1368060002278071,"['M016', 'M039', 'M050', 'M022', 'M015']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,1.0,1.0,0.5,1.0,1.0,0.0,0,1.0,2,122,19,0.06672100062132813,"['M013', 'M015']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.04660000013245735,"['M010', 'M009']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,369,59,0.5359879996831296,"['M017', 'M040', 'M039', 'M045', 'M050']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,473,68,0.28141399889136665,"['M022', 'M045', 'M046', 'M047', 'M020']","['M020', 'M021', 'M022']",[]
bm25,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,465,70,0.16433800010418054,"['M023', 'M024', 'M019', 'M002', 'M011']",['M023'],['M024']
bm25,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,590,94,0.31072799902176484,"['M025', 'M044', 'M008', 'M026', 'M050']",['M025'],['M026']
bm25,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,408,57,0.19240000074205454,"['M028', 'M009', 'M039', 'M050', 'M022']",['M027'],['M028']
bm25,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,444,70,0.20692200087069068,"['M044', 'M045', 'M036', 'M005', 'M008']",['M044'],['M045']
bm25,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,539,80,0.17767799909051973,"['M046', 'M047', 'M045', 'M044', 'M028']",['M046'],['M047']
bm25,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,321,50,0.1440979995095404,"['M029', 'M030', 'M008', 'M031', 'M033']",['M029'],['M030']
bm25,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,230,36,0.13739700079895556,"['M032', 'M031', 'M034', 'M030', 'M039']",['M032'],['M031']
bm25,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,334,53,0.144378000186407,"['M033', 'M034', 'M026', 'M031', 'M029']",['M033'],['M034']
bm25,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,404,60,0.15358199925685767,"['M041', 'M042', 'M012', 'M008', 'M034']",['M042'],['M041']
bm25,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,423,63,0.14334600018628407,"['M043', 'M026', 'M042', 'M034', 'M033']",['M043'],[]
bm25,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1,1.0,5,547,82,0.14297500092652626,"['M010', 'M027', 'M028', 'M037', 'M008']","['M009', 'M010']","['M037', 'M038']"
bm25,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,329,48,0.19784899996011518,"['M036', 'M005', 'M004', 'M014', 'M013']",[],[]
bm25,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,421,68,0.14758199904463254,"['M050', 'M048', 'M016', 'M010', 'M044']",[],[]
tfidf_cosine,raw,Q001,exact,1.0,1.0,1.0,1.0,1.0,0.0,0,,1,113,18,0.4594229994836496,['M001'],['M001'],[]
tfidf_cosine,raw,Q002,exact,1.0,1.0,0.25,0.5,1.0,0.0,0,,4,401,60,0.36133499997959007,"['M003', 'M002', 'M023', 'M024']",['M002'],[]
tfidf_cosine,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,302,45,0.31374299942399375,"['M005', 'M036', 'M018', 'M035', 'M017']",['M005'],"['M035', 'M036']"
tfidf_cosine,raw,Q004,semantic,1.0,1.0,0.25,1.0,1.0,0.0,0,,4,535,81,0.2797109991661273,"['M006', 'M045', 'M025', 'M026']",['M006'],[]
tfidf_cosine,raw,Q005,semantic,1.0,1.0,0.5,1.0,1.0,0.0,0,,2,253,43,0.2715299997362308,"['M007', 'M045']",['M007'],[]
tfidf_cosine,raw,Q006,semantic,1.0,1.0,1.0,1.0,1.0,0.0,0,,1,129,20,0.2509379992261529,['M008'],['M008'],[]
tfidf_cosine,raw,Q007,temporal_current,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,1,0.0,3,187,30,0.2828470005624695,"['M011', 'M012', 'M048']",['M012'],['M011']
tfidf_cosine,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,333,47,0.24845500047376845,"['M032', 'M031', 'M022', 'M013', 'M045']",['M014'],['M013']
tfidf_cosine,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,355,51,0.3402230013307417,"['M016', 'M015', 'M021', 'M039', 'M022']",['M016'],['M015']
tfidf_cosine,raw,Q010,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,54,7,0.3027759994438384,['M013'],['M013'],['M014']
tfidf_cosine,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.2499269994586939,"['M010', 'M009']",['M011'],['M012']
tfidf_cosine,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,430,62,0.2625249999255175,"['M017', 'M040', 'M018', 'M045', 'M019']","['M017', 'M018', 'M019']",[]
