provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,512,77,0.17864899928099476,"['M001', 'M010', 'M046', 'M047', 'M028']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,417,65,0.16975600010482594,"['M002', 'M023', 'M024', 'M011', 'M041']",['M002'],[]
bm25,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,247,39,0.12309600060689263,"['M005', 'M036', 'M035', 'M034', 'M033']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,0.24502900123479776,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,0.22126400108390953,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,0.14520900003844872,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,288,42,0.20158400002401322,"['M011', 'M012', 'M048', 'M041', 'M003']",['M012'],['M011']
bm25,raw,Q008,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,335,44,0.1538619999337243,"['M022', 'M032', 'M031', 'M014', 'M013']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,0.13694699919142295,"['M016', 'M039', 'M050', 'M022', 'M015']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,1.0,1.0,0.5,1.0,1.0,0.0,0,1.0,2,122,19,0.08331600110977888,"['M013', 'M015']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,0.04583899863064289,"['M010', 'M009']",['M011'],['M012']
