provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
agentmemory_core_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.3572990000000118
agentmemory_core_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,603.0,87.0,1.982406000000007
agentmemory_core_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,526.5,67.0,0.6192684999999756
agentmemory_core_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,467.5,68.0,0.538252
agentmemory_core_lsa,raw,procedure,0.2,0.2,0.04,0.1,0.2,0.04,0.2,0.0,585.8,87.8,0.40226840000000263
agentmemory_core_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,645.0,99.0,0.2753449999999589
agentmemory_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,402.3333333333333,56.666666666666664,0.5433893333333609
agentmemory_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777778,1.0,0.0,0.0,,444.6666666666667,68.33333333333333,0.7381493333333538
agentmemory_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,495.0,73.5,0.3865534999999909
agentmemory_core_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,488.25,73.75,0.4273142499999949
agentmemory_remember_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,432.0,59.0,0.10793200000000525
agentmemory_remember_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,1.0,455.0,71.0,0.5712450000000141
agentmemory_remember_lsa,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,524.5,68.0,0.1515229999999974
agentmemory_remember_lsa,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,471.5,69.0,0.16261499999998819
agentmemory_remember_lsa,raw,procedure,1.0,1.0,0.2,0.65,1.0,0.16,0.8,0.6,542.2,80.6,0.13859699999998157
agentmemory_remember_lsa,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,559.0,84.0,0.10831300000000965
agentmemory_remember_lsa,raw,scope,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.20000000000000004,1.0,1.0,374.6666666666667,55.333333333333336,0.11163199999998596
agentmemory_remember_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,511.0,79.0,0.18382700000000796
agentmemory_remember_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.1,0.5,1.0,482.0,71.5,0.13793800000001966
agentmemory_remember_lsa,raw,temporal_current,0.75,0.75,0.15000000000000002,0.4583333333333333,0.75,0.15000000000000002,0.75,0.3333333333333333,422.25,64.25,0.15691649999999413
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.0957519989460707
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,2.788400666152787
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,2.277884499562788
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.5550644993709284
bm25,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.2,1.0,0.6,576.4,87.0,1.872275000278023
bm25,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1.0,1.0,547.0,82.0,1.5234869988489663
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,393.3333333333333,58.666666666666664,1.3578876666239619
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,2.0966649996504807
bm25,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,577.5,87.0,0.6758689996786416
bm25,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,401.0,58.75,1.4075419999244332
dense_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,4.708579999714857
dense_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,604.0,87.0,0.6993643340441243
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,474.5,64.5,0.6090985007176641
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,191.0,28.5,0.5362734991649631
dense_lsa,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,586.2,87.8,1.4218937998521142
dense_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,0.6274859988479875
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,423.0,59.666666666666664,0.6063839997902202
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,1.9908083328724995
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,2.5827094996202504
dense_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,498.75,75.0,0.6043690004844393
habitus,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,526.0,75.0,177.9013909999776
habitus,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,585.0,86.66666666666667,189.70009500056526
habitus,raw,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,,538.5,75.5,178.1654639989938
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,500.0,74.5,186.75058449935023
habitus,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.04,0.2,0.75,618.6,90.0,185.9611860007135
habitus,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.0,0.0,1.0,601.0,91.0,174.71837700031756
habitus,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,433.0,61.0,176.86592333363174
habitus,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777777,1.0,0.0,0.0,,650.3333333333334,98.33333333333333,182.0754053339139
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,518.0,75.5,179.97293650023494
habitus,raw,temporal_current,0.75,0.75,0.15000000000000002,0.625,0.75,0.0,0.0,1.0,503.75,71.5,179.05045249972318
hybrid_rrf,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,485.0,66.0,1.8147860009776196
hybrid_rrf,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,624.3333333333334,93.66666666666667,7.918559333726686
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,461.0,67.0,4.999317499823519
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,430.0,66.5,2.101007500641572
hybrid_rrf,raw,procedure,0.4,0.4,0.08,0.3,0.4,0.08,0.4,0.5,615.8,93.6,2.4701166003069375
hybrid_rrf,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0.0,1.0,594.0,88.0,2.0011470005556475
hybrid_rrf,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,382.6666666666667,54.666666666666664,1.9656436670629773
hybrid_rrf,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,605.6666666666666,94.0,7.867989666920039
hybrid_rrf,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,519.0,76.5,3.278803499597416
hybrid_rrf,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.15000000000000002,0.75,0.3333333333333333,431.25,64.0,9.823335249620868
mem0_core_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.5093280014989432
mem0_core_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,604.0,87.0,1.9749050000730979
mem0_core_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,474.5,64.5,0.47014850042614853
mem0_core_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,191.0,28.5,0.5954975003987784
mem0_core_lsa,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,586.2,87.8,1.296825199824525
mem0_core_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,4.750353000417817
mem0_core_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,423.0,59.666666666666664,0.4853150003327755
mem0_core_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,0.5534976668665573
mem0_core_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,508.0,75.5,0.48206199971900787
mem0_core_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,498.75,75.0,1.519285750873678
membukkit,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.830582001071889
membukkit,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.3333333333333333,1.0,604.0,87.0,5.656842668031459
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,474.5,64.5,0.9090704988921061
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,441.0,63.5,0.8588749997215928
membukkit,raw,procedure,0.2,0.2,0.04,0.04,0.2,0.0,0.0,1.0,585.8,88.0,0.874969199867337
membukkit,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,0.7895199996710289
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.25,1.0,0.20000000000000004,1.0,0.6666666666666666,423.0,59.666666666666664,0.8319373343207795
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,444.6666666666667,68.33333333333333,0.9027346665485917
membukkit,raw,temporal_asof,0.5,0.5,0.16666666666666666,0.25,0.5,0.0,0.0,1.0,226.0,34.0,0.80590050038154
membukkit,raw,temporal_current,0.5,0.5,0.1,0.1125,0.5,0.05,0.25,0.5,498.75,75.0,0.9004677503980929
tfidf_cosine,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,330.0,46.0,0.35003700031666085
tfidf_cosine,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.5,0.6666666666666666,0.0,0.0,,613.0,88.66666666666667,0.46680366661651834
tfidf_cosine,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,488.0,63.5,0.40755949885351583
tfidf_cosine,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,247.0,38.0,0.35048300014750566
tfidf_cosine,raw,procedure,0.8,0.8,0.22000000000000003,0.7,0.8,0.18,0.6,0.75,555.0,83.8,0.4052288004459115
tfidf_cosine,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,530.0,77.0,0.34899599995696917
tfidf_cosine,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,362.0,52.666666666666664,0.4098409996610523
tfidf_cosine,raw,semantic,1.0,1.0,0.5833333333333334,1.0,1.0,0.0,0.0,,305.6666666666667,48.0,1.1202423338545486
tfidf_cosine,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,399.5,57.5,0.3433624997342122
tfidf_cosine,raw,temporal_current,0.75,0.75,0.18333333333333335,0.625,0.75,0.18333333333333335,0.75,0.6666666666666666,366.75,53.0,0.5165859997759981
