provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
habitus,raw,conflict,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,,236.0,32.0,10.638627999469463
habitus,raw,exact,1.0,1.0,0.38888888888888884,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,221.0,33.666666666666664,9.997692000069947
habitus,raw,multihop,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.0,,265.5,38.5,10.821664499417238
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,191.0,30.5,10.69373149994135
habitus,raw,procedure,0.8,0.8,0.26666666666666666,0.7,0.8,0.13333333333333333,0.4,0.75,323.4,48.0,10.726605199670303
habitus,raw,protocol,1.0,0.5,0.3333333333333333,0.5,0.0,0.0,0.0,1.0,349.0,52.0,10.857869000574283
habitus,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,208.0,32.333333333333336,10.678979666712015
habitus,raw,semantic,1.0,1.0,0.38888888888888884,0.7777777777777777,1.0,0.0,0.0,,347.3333333333333,54.0,10.624590666642083
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,239.5,36.5,10.765048499706609
habitus,raw,temporal_current,1.0,1.0,0.3333333333333333,0.875,1.0,0.0,0.0,1.0,239.0,35.5,10.665751999795248
