provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
habitus,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,609,89,192.28537999970285,"['M001', 'M046', 'M057', 'M084', 'M177']",['M001'],[]
habitus,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,555,82,174.7486439999193,"['M002', 'M023', 'M003', 'M067', 'M197']",['M002'],[]
habitus,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,591,89,172.9168630008644,"['M100', 'M076', 'M136', 'M087', 'M109']",['M005'],"['M035', 'M036']"
habitus,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,701,104,177.71202299991273,"['M006', 'M007', 'M025', 'M067', 'M093']",['M006'],[]
habitus,raw,Q005,semantic,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,,5,609,95,185.61608399977558,"['M046', 'M045', 'M007', 'M105', 'M227']",['M007'],[]
habitus,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,641,96,178.6974349997763,"['M008', 'M044', 'M067', 'M084', 'M097']",['M008'],[]
habitus,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,477,67,174.37176600014936,"['M048', 'M012', 'M018', 'M365', 'M104']",['M012'],['M011']
habitus,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,605,83,174.54736000036064,"['M329', 'M101', 'M233', 'M365', 'M104']",['M014'],['M013']
habitus,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,395,60,182.39286500011076,"['M016', 'M050', 'M039', 'M365', 'M158']",['M016'],['M015']
habitus,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,506,74,176.7838309997387,"['M033', 'M329', 'M101', 'M087', 'M097']",['M013'],['M014']
habitus,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,530,77,180.1177360002839,"['M040', 'M009', 'M010', 'M084', 'M209']",['M011'],['M012']
habitus,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,520,73,176.91491900041,"['M017', 'M040', 'M200', 'M057', 'M209']","['M017', 'M018', 'M019']",[]
habitus,raw,Q013,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,557,78,177.08244099958392,"['M022', 'M045', 'M368', 'M097', 'M257']","['M020', 'M021', 'M022']",[]
habitus,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,623,89,176.054552000096,"['M023', 'M368', 'M404', 'M063', 'M103']",['M023'],['M024']
habitus,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,656,95,177.2782960006225,"['M025', 'M044', 'M006', 'M097', 'M100']",['M025'],['M026']
habitus,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,597,85,193.85386900012236,"['M103', 'M009', 'M055', 'M104', 'M170']",['M027'],['M028']
habitus,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,637,95,179.93890599973383,"['M044', 'M088', 'M208', 'M177', 'M091']",['M044'],['M045']
habitus,raw,Q018,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,580,86,188.45126700034598,"['M047', 'M046', 'M084', 'M109', 'M460']",['M046'],['M047']
habitus,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,463,66,180.96150800010946,"['M029', 'M087', 'M075', 'M070', 'M065']",['M029'],['M030']
habitus,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,424,63,182.3310420004418,"['M032', 'M031', 'M086', 'M365', 'M103']",['M032'],['M031']
habitus,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,412,54,185.67633499969816,"['M033', 'M034', 'M298', 'M063', 'M198']",['M033'],['M034']
habitus,raw,Q022,temporal_current,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,538,76,193.78619700000854,"['M042', 'M063', 'M087', 'M212', 'M172']",['M042'],['M041']
habitus,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,526,75,187.61710899980244,"['M043', 'M256', 'M352', 'M087', 'M202']",['M043'],[]
habitus,raw,Q024,protocol,1.0,0.5,0.2,0.5,0.0,0.0,0,1.0,5,601,91,177.3422930000379,"['M027', 'M010', 'M028', 'M103', 'M109']","['M009', 'M010']","['M037', 'M038']"
habitus,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,524,76,189.6090419995744,"['M161', 'M389', 'M005', 'M365', 'M177']",[],[]
habitus,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,476,73,181.78967600033502,"['M048', 'M050', 'M042', 'M103', 'M188']",[],[]
