provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
hindsight,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,437.0,63.0,41.50058305822313
hindsight,raw,exact,1.0,1.0,0.20000000000000004,0.3444444444444444,1.0,0.13333333333333333,0.6666666666666666,0.0,406.6666666666667,62.333333333333336,34.404486029719315
hindsight,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,371.5,53.0,36.405958991963416
hindsight,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,396.0,56.0,34.57874996820465
hindsight,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,488.2,72.6,29.823158378712833
hindsight,raw,protocol,1.0,0.5,0.2,0.3333333333333333,0.0,0.2,1.0,1.0,561.0,86.0,30.903958017006516
hindsight,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,301.6666666666667,43.333333333333336,29.572944661291938
hindsight,raw,semantic,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.19444444444444442,0.6666666666666666,0.0,0.0,,504.0,75.0,34.96733331121504
hindsight,raw,temporal_asof,1.0,1.0,0.2,0.41666666666666663,1.0,0.1,0.5,1.0,343.5,49.0,56.36489554308355
hindsight,raw,temporal_current,1.0,1.0,0.2,0.5833333333333334,1.0,0.15000000000000002,0.75,1.0,354.5,50.0,31.58389576128684
