provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
hindsight,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,435.0,58.0,56.17716698907316
hindsight,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,641.0,86.0,51.68793036136776
hindsight,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,651.5,82.5,43.853666982613504
hindsight,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,635.5,82.5,49.2652709945105
hindsight,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,634.4,94.4,43.083216599188745
hindsight,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,670.0,105.0,42.98020794522017
hindsight,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,462.0,65.0,43.366152327507734
hindsight,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,587.0,89.33333333333333,49.54502766486257
hindsight,raw,temporal_asof,0.5,0.5,0.1,0.25,0.5,0.1,0.5,0.0,482.5,66.0,79.26347898319364
hindsight,raw,temporal_current,0.25,0.25,0.05,0.125,0.25,0.0,0.0,1.0,579.25,84.25,46.692676958628
