provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
hindsight,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,71.16670801769942,"['M420', 'M480', 'M360', 'M180', 'M324']",['M001'],[]
hindsight,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,617,68,43.3460830245167,"['M414', 'M426', 'M354', 'M366', 'M023']",['M002'],[]
hindsight,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,631,95,40.551000041887164,"['M496', 'M388', 'M400', 'M316', 'M448']",['M005'],"['M035', 'M036']"
hindsight,raw,Q004,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,608,92,46.587917022407055,"['M045', 'M025', 'M452', 'M382', 'M026']",['M006'],[]
hindsight,raw,Q005,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,541,83,60.20258297212422,"['M045', 'M026', 'M014', 'M044', 'M038']",['M007'],[]
hindsight,raw,Q006,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,612,93,41.844583000056446,"['M472', 'M412', 'M292', 'M409', 'M493']",['M008'],[]
hindsight,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,478,67,44.931250042282045,"['M411', 'M012', 'M351', 'M291', 'M214']",['M012'],['M011']
hindsight,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,85,42.201041942462325,"['M449', 'M461', 'M389', 'M485', 'M401']",['M014'],['M013']
hindsight,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,42.11295791901648,"['M479', 'M467', 'M455', 'M419', 'M251']",['M016'],['M015']
hindsight,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,566,78,84.20812501572073,"['M221', 'M209', 'M022', 'M137', 'M077']",['M013'],['M014']
hindsight,raw,Q011,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,399,54,74.31883295066655,"['M012', 'M011', 'M183', 'M015', 'M126']",['M011'],['M012']
hindsight,raw,Q012,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,691,90,43.07612497359514,"['M441', 'M489', 'M429', 'M405', 'M465']","['M017', 'M018', 'M019']",[]
hindsight,raw,Q013,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,612,75,44.631208991631866,"['M464', 'M476', 'M500', 'M260', 'M416']","['M020', 'M021', 'M022']",[]
hindsight,raw,Q014,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,42.65254200436175,"['M492', 'M432', 'M372', 'M192', 'M132']",['M023'],['M024']
hindsight,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,590,90,43.24120795354247,"['M325', 'M385', 'M445', 'M205', 'M145']",['M025'],['M026']
hindsight,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,43.601291021332145,"['M499', 'M439', 'M451', 'M427', 'M367']",['M027'],['M028']
hindsight,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,629,95,44.703250052407384,"['M292', 'M256', 'M436', 'M316', 'M496']",['M044'],['M045']
hindsight,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,608,87,41.21779196429998,"['M046', 'M047', 'M456', 'M480', 'M384']",['M046'],['M047']
hindsight,raw,Q019,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,41.71345802024007,"['M423', 'M363', 'M495', 'M435', 'M375']",['M029'],['M030']
hindsight,raw,Q020,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,409,60,44.89091597497463,"['M030', 'M494', 'M434', 'M374', 'M194']",['M032'],['M031']
hindsight,raw,Q021,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,477,65,43.4940829873085,"['M466', 'M406', 'M358', 'M394', 'M214']",['M033'],['M034']
hindsight,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,682,95,57.525457930751145,"['M396', 'M456', 'M408', 'M288', 'M216']",['M042'],['M041']
hindsight,raw,Q023,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,435,58,56.17716698907316,"['M042', 'M043', 'M399', 'M041', 'M339']",['M043'],[]
hindsight,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,42.98020794522017,"['M391', 'M331', 'M307', 'M499', 'M211']","['M009', 'M010']","['M037', 'M038']"
hindsight,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,667,90,44.57612498663366,"['M477', 'M417', 'M357', 'M489', 'M309']",[],[]
hindsight,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,604,75,53.954417002387345,"['M440', 'M380', 'M320', 'M428', 'M260']",[],[]
