provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
hindsight,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,497.0,68.0,1078.7071250379086
hindsight,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,582.3333333333334,81.0,1099.4718890093889
hindsight,raw,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0.0,,511.5,67.0,1188.0072914646007
hindsight,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,509.5,73.0,1028.348479012493
hindsight,raw,procedure,0.8,0.8,0.16,0.8,0.8,0.16,0.8,1.0,619.6,93.6,1106.7980084335431
hindsight,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,101.0,1032.5404580216855
hindsight,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,395.6666666666667,56.666666666666664,1029.5078473476071
hindsight,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,585.3333333333334,88.66666666666667,1131.442597329927
hindsight,raw,temporal_asof,0.5,0.5,0.1,0.25,0.5,0.1,0.5,0.0,497.0,72.0,1157.6601670240052
hindsight,raw,temporal_current,0.75,0.75,0.15000000000000002,0.75,0.75,0.15000000000000002,0.75,1.0,482.75,71.75,992.3083127650898
