provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
hindsight,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,435.0,58.0,46.71712499111891
hindsight,raw,exact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,635.6666666666666,87.66666666666667,47.85679172103604
hindsight,raw,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,650.0,82.5,38.21283346042037
hindsight,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,635.5,82.5,38.806812022812665
hindsight,raw,procedure,0.4,0.4,0.08,0.26666666666666666,0.4,0.04,0.2,1.0,633.6,94.2,36.15734165068716
hindsight,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,669.0,105.0,33.76995900180191
hindsight,raw,scope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,462.0,65.0,34.941124341761075
hindsight,raw,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,587.0,89.33333333333333,40.88634737612059
hindsight,raw,temporal_asof,0.5,0.5,0.1,0.16666666666666666,0.5,0.2,1.0,0.0,505.5,72.5,197.40266702137887
hindsight,raw,temporal_current,0.25,0.25,0.05,0.125,0.25,0.0,0.0,1.0,579.5,84.25,39.37783319270238
