provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
hindsight,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,72.06137501634657,"['M420', 'M480', 'M360', 'M180', 'M444']",['M001'],[]
hindsight,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,603,73,37.56641608197242,"['M414', 'M426', 'M024', 'M354', 'M023']",['M002'],[]
hindsight,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,629,95,33.942584064789116,"['M496', 'M388', 'M400', 'M316', 'M220']",['M005'],"['M035', 'M036']"
hindsight,raw,Q004,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,608,92,36.153542110696435,"['M045', 'M025', 'M452', 'M382', 'M026']",['M006'],[]
hindsight,raw,Q005,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,541,83,49.14754198398441,"['M045', 'M026', 'M014', 'M044', 'M038']",['M007'],[]
hindsight,raw,Q006,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,612,93,37.357958033680916,"['M472', 'M412', 'M292', 'M409', 'M313']",['M008'],[]
hindsight,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.0,0,1.0,5,478,67,34.716208931058645,"['M411', 'M012', 'M351', 'M291', 'M214']",['M012'],['M011']
hindsight,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,85,35.5142499320209,"['M449', 'M461', 'M389', 'M485', 'M341']",['M014'],['M013']
hindsight,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,36.66233294643462,"['M479', 'M467', 'M455', 'M419', 'M251']",['M016'],['M015']
hindsight,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,592,83,218.5592920286581,"['M014', 'M209', 'M221', 'M137', 'M341']",['M013'],['M014']
hindsight,raw,Q011,temporal_asof,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,419,62,176.24604201409966,"['M012', 'M171', 'M011', 'M156', 'M015']",['M011'],['M012']
hindsight,raw,Q012,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,691,90,39.957999950274825,"['M441', 'M489', 'M429', 'M465', 'M405']","['M017', 'M018', 'M019']",[]
hindsight,raw,Q013,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,609,75,36.467666970565915,"['M500', 'M464', 'M476', 'M260', 'M188']","['M020', 'M021', 'M022']",[]
hindsight,raw,Q014,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,35.58441705536097,"['M492', 'M432', 'M372', 'M192', 'M132']",['M023'],['M024']
hindsight,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,590,90,36.304375040344894,"['M385', 'M265', 'M445', 'M205', 'M145']",['M025'],['M026']
hindsight,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,36.397207994014025,"['M499', 'M439', 'M451', 'M427', 'M367']",['M027'],['M028']
hindsight,raw,Q017,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,1.0,5,625,94,36.40525008086115,"['M496', 'M436', 'M044', 'M256', 'M472']",['M044'],['M045']
hindsight,raw,Q018,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,608,87,36.09545808285475,"['M046', 'M047', 'M456', 'M480', 'M384']",['M046'],['M047']
hindsight,raw,Q019,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,34.36004102695733,"['M423', 'M363', 'M255', 'M315', 'M375']",['M029'],['M030']
hindsight,raw,Q020,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,409,60,34.46041594725102,"['M030', 'M494', 'M434', 'M374', 'M194']",['M032'],['M031']
hindsight,raw,Q021,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,477,65,36.00291605107486,"['M394', 'M406', 'M466', 'M358', 'M214']",['M033'],['M034']
hindsight,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,683,95,50.618540961295366,"['M396', 'M456', 'M408', 'M468', 'M288']",['M042'],['M041']
hindsight,raw,Q023,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,435,58,46.71712499111891,"['M042', 'M043', 'M041', 'M399', 'M339']",['M043'],[]
hindsight,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,669,105,33.76995900180191,"['M391', 'M331', 'M499', 'M307', 'M319']","['M009', 'M010']","['M037', 'M038']"
hindsight,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,667,90,34.4191660406068,"['M477', 'M417', 'M357', 'M489', 'M429']",[],[]
hindsight,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,604,75,43.19445800501853,"['M440', 'M380', 'M320', 'M428', 'M260']",[],[]
