provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
hindsight,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,475.0,68.0,376.2105000205338
hindsight,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,453.0,68.66666666666667,464.50388866166276
hindsight,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,380.5,53.0,397.2478749928996
hindsight,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,332.5,49.5,359.8546875291504
hindsight,raw,procedure,1.0,1.0,0.2,0.8666666666666666,1.0,0.2,1.0,0.8,581.4,85.4,376.2414996745065
hindsight,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,364.61758299265057
hindsight,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,281.3333333333333,41.0,355.80105567350984
hindsight,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,528.3333333333334,82.33333333333333,376.4282916672528
hindsight,raw,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1.0,0.0,400.5,58.5,386.9370000320487
hindsight,raw,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,362.5,54.25,356.89159348839894
