provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
mem0,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,553,87,353.1997089739889,"['M001', 'M026', 'M047', 'M045', 'M042']",['M001'],[]
mem0,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,407,58,350.09624995291233,"['M002', 'M004', 'M024', 'M003', 'M037']",['M002'],[]
mem0,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,302,45,356.92733305040747,"['M005', 'M035', 'M018', 'M017', 'M036']",['M005'],"['M035', 'M036']"
mem0,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,364.26216596737504,"['M006', 'M045', 'M026', 'M025', 'M007']",['M006'],[]
mem0,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,501,83,368.19854204077274,"['M007', 'M045', 'M026', 'M035', 'M033']",['M007'],[]
mem0,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,414,58,359.715708065778,"['M008', 'M022', 'M021', 'M037', 'M035']",['M008'],[]
mem0,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,282,43,356.14579101093113,"['M011', 'M012', 'M048', 'M031', 'M013']",['M012'],['M011']
mem0,raw,Q008,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,406,56,347.83033293206245,"['M013', 'M014', 'M022', 'M045', 'M031']",['M014'],['M013']
mem0,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,355,51,348.6196669982746,"['M016', 'M015', 'M021', 'M039', 'M022']",['M016'],['M015']
mem0,raw,Q010,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,446,62,358.77612500917166,"['M013', 'M014', 'M022', 'M016', 'M045']",['M013'],['M014']
mem0,raw,Q011,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,401,59,417.4441249342635,"['M011', 'M012', 'M016', 'M010', 'M009']",['M011'],['M012']
mem0,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,430,62,354.3127499287948,"['M017', 'M019', 'M018', 'M040', 'M045']","['M017', 'M018', 'M019']",[]
mem0,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,421,62,358.5723750293255,"['M022', 'M020', 'M021', 'M039', 'M007']","['M020', 'M021', 'M022']",[]
mem0,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,512,77,359.5712090609595,"['M023', 'M024', 'M002', 'M019', 'M004']",['M023'],['M024']
mem0,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,652,98,360.70804204791784,"['M025', 'M026', 'M006', 'M007', 'M043']",['M025'],['M026']
mem0,raw,Q016,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,597,86,380.58324996382,"['M009', 'M028', 'M027', 'M046', 'M044']",['M027'],['M028']
mem0,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,447,67,364.3652918981388,"['M044', 'M045', 'M014', 'M005', 'M035']",['M044'],['M045']
mem0,raw,Q018,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,471,74,369.4508339976892,"['M047', 'M046', 'M030', 'M045', 'M001']",['M046'],['M047']
mem0,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,305,45,368.48220811225474,"['M029', 'M030', 'M031', 'M033', 'M014']",['M029'],['M030']
mem0,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,254,38,364.3236249918118,"['M032', 'M031', 'M030', 'M034', 'M018']",['M032'],['M031']
mem0,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,334,53,385.8357499120757,"['M033', 'M034', 'M026', 'M029', 'M031']",['M033'],['M034']
mem0,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,492,72,441.24675006605685,"['M041', 'M042', 'M043', 'M044', 'M023']",['M042'],['M041']
mem0,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,414,61,440.7217090483755,"['M043', 'M042', 'M041', 'M026', 'M034']",['M043'],[]
mem0,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1,1.0,5,520,78,450.7504589855671,"['M010', 'M027', 'M037', 'M024', 'M028']","['M009', 'M010']","['M037', 'M038']"
mem0,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,397,59,440.48958306666464,"['M004', 'M013', 'M045', 'M014', 'M005']",[],[]
mem0,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,318,45,440.7886250410229,"['M006', 'M050', 'M011', 'M032', 'M013']",[],[]
