provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
mem0,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,414.0,61.0,1044.3688749801368
mem0,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,420.6666666666667,63.333333333333336,1944.8272499721497
mem0,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,425.5,62.0,1839.284354064148
mem0,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,357.5,52.0,804.9347704509273
mem0,raw,procedure,1.0,1.0,0.2,0.7666666666666666,1.0,0.2,1.0,0.6,535.8,80.4,1696.1400501895696
mem0,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.2,1.0,1.0,520.0,78.0,1212.0717919897288
mem0,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,297.6666666666667,45.333333333333336,1822.4975836540882
mem0,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,530.6666666666666,82.33333333333333,1915.0303469893213
mem0,raw,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,423.5,60.5,1831.3449790002778
mem0,raw,temporal_current,1.0,1.0,0.2,0.625,1.0,0.2,1.0,0.25,383.75,55.5,1759.2633854947053
