provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
mem0,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,653,94,530.7197920046747,"['M001', 'M492', 'M432', 'M072', 'M312']",['M001'],[]
mem0,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,502,74,593.3514159405604,"['M002', 'M003', 'M004', 'M259', 'M199']",['M002'],[]
mem0,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,539,83,512.5733750173822,"['M005', 'M184', 'M412', 'M244', 'M364']",['M005'],"['M035', 'M036']"
mem0,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,531.1037499923259,"['M006', 'M045', 'M026', 'M025', 'M007']",['M006'],[]
mem0,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,610,97,637.3482500202954,"['M007', 'M045', 'M361', 'M301', 'M121']",['M007'],[]
mem0,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,523,75,502.98262492287904,"['M008', 'M022', 'M021', 'M097', 'M337']",['M008'],[]
mem0,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,403,56,528.8845419418067,"['M011', 'M012', 'M274', 'M454', 'M094']",['M012'],['M011']
mem0,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,599,85,535.2076250128448,"['M161', 'M401', 'M101', 'M341', 'M221']",['M014'],['M013']
mem0,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,488,78,536.6869169520214,"['M016', 'M015', 'M371', 'M251', 'M311']",['M016'],['M015']
mem0,raw,Q010,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,529,73,529.6812920132652,"['M013', 'M257', 'M014', 'M137', 'M197']",['M013'],['M014']
mem0,raw,Q011,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,303,44,516.9226250145584,"['M011', 'M012', 'M005', 'M013', 'M466']",['M011'],['M012']
mem0,raw,Q012,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,462,62,520.8795419894159,"['M017', 'M019', 'M040', 'M018', 'M489']","['M017', 'M018', 'M019']",[]
mem0,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,481,59,512.7039171056822,"['M020', 'M022', 'M021', 'M164', 'M224']","['M020', 'M021', 'M022']",[]
mem0,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,584,76,512.400042032823,"['M023', 'M024', 'M002', 'M354', 'M114']",['M023'],['M024']
mem0,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,662,99,514.6433749468997,"['M025', 'M026', 'M006', 'M181', 'M061']",['M025'],['M026']
mem0,raw,Q016,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,634,94,532.4295000173151,"['M027', 'M028', 'M009', 'M379', 'M139']",['M027'],['M028']
mem0,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,608,93,528.6655829986557,"['M044', 'M045', 'M412', 'M172', 'M052']",['M044'],['M045']
mem0,raw,Q018,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,613,87,516.1083750426769,"['M047', 'M046', 'M408', 'M288', 'M108']",['M046'],['M047']
mem0,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,455,64,507.8900409862399,"['M029', 'M231', 'M051', 'M351', 'M291']",['M029'],['M030']
mem0,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,291,43,511.2916249781847,"['M032', 'M031', 'M030', 'M034', 'M014']",['M032'],['M031']
mem0,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,388,55,505.287625011988,"['M033', 'M034', 'M166', 'M346', 'M286']",['M033'],['M034']
mem0,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,497,68,508.4452088922262,"['M041', 'M042', 'M043', 'M360', 'M420']",['M042'],['M041']
mem0,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,497,68,519.6628329576924,"['M043', 'M042', 'M041', 'M120', 'M300']",['M043'],[]
mem0,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0,1.0,5,650,101,526.5232080128044,"['M010', 'M027', 'M127', 'M427', 'M067']","['M009', 'M010']","['M037', 'M038']"
mem0,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,537,79,529.8052500002086,"['M013', 'M045', 'M413', 'M280', 'M357']",[],[]
mem0,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,308,43,523.9815829554573,"['M050', 'M011', 'M032', 'M013', 'M284']",[],[]
