provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
mem0,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,497.0,68.0,1583.6032920051366
mem0,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,1.0,564.6666666666666,83.66666666666667,2065.3493887123964
mem0,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,471.5,60.5,2589.318271027878
mem0,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,422.5,61.0,2048.920395958703
mem0,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,0.8,620.2,89.8,2246.7215501936153
mem0,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,650.0,101.0,1949.0469170268625
mem0,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,378.0,54.0,2507.1600557227307
mem0,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,603.3333333333334,92.66666666666667,2359.5490276735895
mem0,raw,temporal_asof,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,416.0,58.5,2157.1739794453606
mem0,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,496.75,71.75,2201.306228991598
