provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,45.12816600072256,"['M096', 'M156', 'M216', 'M336', 'M456']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,596,82,3.121994999673916,"['M113', 'M212', 'M359', 'M464', 'M473']",['M002'],[]
membukkit,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,625,95,2.5223639995601843,"['M304', 'M364', 'M412', 'M424', 'M484']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,621,94,2.0349630003693164,"['M006', 'M025', 'M026', 'M027', 'M030']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,682,97,2.0992800000385614,"['M007', 'M093', 'M273', 'M333', 'M393']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,631,99,1.9043440006498713,"['M007', 'M008', 'M097', 'M277', 'M457']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,449,63,2.041431999714405,"['M011', 'M213', 'M012', 'M464', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,599,85,1.9391670002733008,"['M113', 'M257', 'M317', 'M413', 'M473']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,1.9750920000660699,"['M083', 'M263', 'M323', 'M359', 'M419']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,118,17,1.8935379994218238,['M089'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,318,48,2.059931000076176,"['M009', 'M010', 'M191']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,495,73,2.2038589995645452,"['M017', 'M019', 'M275', 'M455', 'M042']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,517,65,1.9985179997092928,"['M212', 'M020', 'M022', 'M428', 'M440']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,635,84,1.958707000085269,"['M068', 'M104', 'M212', 'M023', 'M464']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,593,90,1.989574000617722,"['M061', 'M109', 'M181', 'M289', 'M481']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.9362530001671985,"['M091', 'M151', 'M211', 'M271', 'M331']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,548,83,2.2927350000827573,"['M088', 'M316', 'M036', 'M412', 'M448']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,560,80,1.9846860004690825,"['M297', 'M028', 'M417', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,400,58,1.8876880003517726,"['M135', 'M243', 'M303', 'M029', 'M030']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,437,63,1.9140889999107458,"['M269', 'M329', 'M031', 'M032', 'M473']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,391,55,1.9123259999105358,"['M094', 'M154', 'M334', 'M033', 'M034']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,1.9474199998512631,"['M075', 'M135', 'M195', 'M255', 'M435']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,486,66,1.997667000068759,"['M195', 'M255', 'M315', 'M375', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.9722380002349382,"['M151', 'M211', 'M271', 'M331', 'M391']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,597,85,1.904955000100017,"['M113', 'M173', 'M269', 'M413', 'M473']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,443,71,1.9910149994757376,"['M263', 'M036', 'M359', 'M044', 'M050']",[],[]
