provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,266,42,50.595448999956716,"['M004', 'M031', 'M032', 'M039', 'M050']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,413,60,0.4734840003948193,"['M015', 'M019', 'M012', 'M014', 'M049']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,238,40,0.3071230003115488,"['M005', 'M030', 'M033', 'M036', 'M049']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,445,61,0.4090860002179397,"['M006', 'M011', 'M019', 'M020', 'M045']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,,5,382,65,0.3864129994326504,"['M001', 'M005', 'M007', 'M030', 'M036']",['M007'],[]
membukkit,raw,Q006,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,457,69,0.3689659997689887,"['M003', 'M007', 'M028', 'M030', 'M046']",['M008'],[]
membukkit,raw,Q007,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,331,50,0.2792610002870788,"['M001', 'M020', 'M032', 'M035', 'M036']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,216,32,0.28071299948351225,"['M003', 'M005', 'M011', 'M030', 'M032']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,335,52,0.3369780006323708,"['M030', 'M035', 'M036', 'M014', 'M048']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,193,30,0.2613440001368872,"['M001', 'M004']",['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0,1.0,3,287,45,0.2567669998825295,"['M007', 'M009', 'M011']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,461,67,0.40314800025953446,"['M011', 'M017', 'M019', 'M023', 'M014']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,439,63,0.29512499986594776,"['M001', 'M002', 'M006', 'M032', 'M033']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,386,55,0.3545139998095692,"['M001', 'M019', 'M020', 'M021', 'M036']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,492,71,0.4219959992042277,"['M006', 'M008', 'M011', 'M025', 'M031']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,499,76,0.3551760000846116,"['M004', 'M012', 'M023', 'M042', 'M047']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,521,78,0.29808900035277475,"['M008', 'M022', 'M023', 'M029', 'M046']",['M044'],['M045']
membukkit,raw,Q018,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,301,47,0.3150550001009833,"['M030', 'M032', 'M033', 'M036', 'M044']",['M046'],['M047']
membukkit,raw,Q019,scope,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,349,52,0.25946100049623055,"['M010', 'M013', 'M018', 'M030', 'M016']",['M029'],['M030']
membukkit,raw,Q020,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,444,56,0.25522400028421544,"['M003', 'M019', 'M022', 'M014', 'M047']",['M032'],['M031']
membukkit,raw,Q021,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,525,79,0.2891549993364606,"['M006', 'M020', 'M026', 'M046', 'M048']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,409,57,0.26614099988364615,"['M006', 'M020', 'M033', 'M034', 'M047']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,321,42,0.25086799996643094,"['M022', 'M029', 'M031', 'M034', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,0.5,0.2,0.3333333333333333,0.0,0.0,0,1.0,5,488,71,0.2632059995448799,"['M002', 'M008', 'M009', 'M033', 'M042']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,367,59,0.30482000056508696,"['M011', 'M021', 'M023', 'M040', 'M050']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,348,50,0.3031070000361069,"['M011', 'M018', 'M030', 'M014', 'M016']",[],[]
