provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,497.0,68.0,367.63716593850404
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,1.0,552.6666666666666,77.0,448.7123473081738
membukkit,raw,multihop,1.0,0.6666666666666666,0.4,0.75,0.0,0.0,0.0,,528.5,67.0,430.2788335480727
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,506.0,70.0,361.5578545141034
membukkit,raw,procedure,0.6,0.6,0.12000000000000002,0.21666666666666665,0.6,0.12000000000000002,0.6,1.0,604.8,88.4,394.9770250124857
membukkit,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,650.0,101.0,401.30245801992714
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.38888888888888884,1.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,396.0,56.666666666666664,378.9936526833723
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,639.3333333333334,96.66666666666667,404.03886100587744
membukkit,raw,temporal_asof,1.0,1.0,0.75,0.75,1.0,0.0,0.0,1.0,103.5,14.5,363.57239598874
membukkit,raw,temporal_current,0.75,0.75,0.15000000000000002,0.20833333333333331,0.75,0.15000000000000002,0.75,0.0,453.0,65.75,344.11945796455257
