provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,330.0,46.0,41.748209041543305
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,399.0,61.0,199.36943096884838
membukkit,raw,multihop,1.0,1.0,0.6,0.75,1.0,0.0,0.0,,377.5,52.0,61.36483349837363
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,240.0,37.0,63.51420801365748
membukkit,raw,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1.0,1.0,555.0,85.0,58.87142501305789
membukkit,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,46.16887494921684
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.39999999999999997,1.0,0.20000000000000004,1.0,0.6666666666666666,268.0,38.666666666666664,55.99886136284719
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,540.3333333333334,82.33333333333333,58.88254133363565
membukkit,raw,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,43.5,6.0,54.95397950289771
membukkit,raw,temporal_current,1.0,1.0,0.2,0.24583333333333335,1.0,0.2,1.0,0.0,312.5,45.5,49.58913550944999
