provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,653,94,500.4826670046896,"['M001', 'M192', 'M312', 'M444', 'M492']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,464,54,247.13404197245836,"['M002', 'M003', 'M004', 'M318', 'M438']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,541,83,223.96174992900342,"['M005', 'M172', 'M292', 'M352', 'M388']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,642,97,296.4872079901397,"['M006', 'M025', 'M026', 'M045', 'M046']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,97,273.36166601162404,"['M007', 'M085', 'M205', 'M445', 'M045']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,669,96,256.7997499136254,"['M008', 'M240', 'M360', 'M420', 'M480']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,348,49,218.93487498164177,"['M011', 'M154', 'M012', 'M031', 'M454']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,601,85,209.972667042166,"['M101', 'M281', 'M353', 'M377', 'M437']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,488,78,240.4114999808371,"['M015', 'M311', 'M371', 'M016', 'M491']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,0.5,0.5,1.0,0.0,0,1.0,2,174,24,245.499583077617,"['M101', 'M013']",['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,33,5,232.01124998740852,['M011'],['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,515,69,274.0321250166744,"['M017', 'M018', 'M249', 'M040', 'M489']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,542,65,268.40016699861735,"['M224', 'M020', 'M022', 'M344', 'M464']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,608,73,247.92020802851766,"['M234', 'M023', 'M024', 'M354', 'M474']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,643,100,248.53850004728884,"['M073', 'M133', 'M025', 'M026', 'M373']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,644,99,272.61145808734,"['M009', 'M319', 'M379', 'M439', 'M499']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,635,95,248.165583005175,"['M088', 'M148', 'M208', 'M268', 'M388']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,494,75,261.65720797143877,"['M030', 'M456', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,1.0,5,451,64,235.24612502660602,"['M315', 'M327', 'M029', 'M375', 'M435']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,351,51,237.04629100393504,"['M218', 'M031', 'M032', 'M398', 'M458']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,386,55,235.9427079791203,"['M190', 'M033', 'M034', 'M370', 'M466']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,375,51,241.9839579379186,"['M154', 'M034', 'M041', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,497,68,225.63587490003556,"['M252', 'M312', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0,1.0,5,650,101,247.91375000495464,"['M010', 'M067', 'M027', 'M367', 'M487']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,675,90,256.01358304265887,"['M069', 'M153', 'M177', 'M393', 'M453']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,337,50,231.66924994438887,"['M011', 'M242', 'M032', 'M422', 'M482']",[],[]
