provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,50.29529700004787,"['M096', 'M156', 'M216', 'M336', 'M396']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,596,82,3.566667000086454,"['M113', 'M212', 'M359', 'M464', 'M473']",['M002'],[]
membukkit,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,625,95,2.582770000117307,"['M220', 'M304', 'M364', 'M412', 'M424']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,611,96,2.4138630005836603,"['M006', 'M007', 'M025', 'M026', 'M030']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,682,97,2.447113000016543,"['M007', 'M093', 'M153', 'M273', 'M333']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,631,99,2.3336510002991417,"['M007', 'M008', 'M097', 'M157', 'M457']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,0.0,5,449,63,2.4117800003295997,"['M011', 'M153', 'M012', 'M464', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,597,85,2.6370030000180122,"['M113', 'M257', 'M269', 'M413', 'M473']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,2.635318999637093,"['M263', 'M323', 'M359', 'M419', 'M431']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,118,17,2.6659760005713906,['M089'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,318,48,2.7500249998411164,"['M009', 'M010', 'M191']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,510,70,2.4765890002527158,"['M017', 'M019', 'M455', 'M464', 'M042']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,517,65,2.468976999807637,"['M212', 'M020', 'M022', 'M428', 'M440']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,635,84,2.451690000270901,"['M092', 'M104', 'M212', 'M023', 'M464']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,90,2.6454250000824686,"['M061', 'M121', 'M181', 'M229', 'M241']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,4.993757999727677,"['M091', 'M211', 'M271', 'M391', 'M451']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,548,83,2.412470999843208,"['M088', 'M316', 'M036', 'M412', 'M448']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,560,80,2.3749539996060776,"['M177', 'M297', 'M028', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,400,58,2.300018999449094,"['M063', 'M195', 'M291', 'M029', 'M030']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,437,63,2.2834549999970477,"['M269', 'M329', 'M031', 'M032', 'M473']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,391,55,2.338087000680389,"['M094', 'M154', 'M334', 'M033', 'M034']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,527,75,2.35947000055603,"['M075', 'M315', 'M375', 'M448', 'M495']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,486,66,2.6504020006541396,"['M135', 'M375', 'M435', 'M495', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,688,107,2.4053600000115694,"['M151', 'M211', 'M271', 'M331', 'M027']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,597,85,2.3402300002999255,"['M113', 'M173', 'M269', 'M413', 'M473']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,599,85,2.4918619992604363,"['M113', 'M353', 'M401', 'M413', 'M473']",[],[]
