provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,482.0,67.0,64.38229198101908
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,396.0,60.333333333333336,124.46680498154213
membukkit,raw,multihop,1.0,0.8333333333333333,0.5,0.75,0.5,0.0,0.0,,491.5,73.0,68.0778959649615
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,289.0,43.5,61.636208032723516
membukkit,raw,procedure,1.0,1.0,0.2,0.35,1.0,0.2,1.0,1.0,565.8,88.2,63.58960804063827
membukkit,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0.0,1.0,503.0,73.0,69.26287501119077
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.5833333333333334,1.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,285.6666666666667,42.333333333333336,64.14887464294831
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,523.6666666666666,81.66666666666667,65.73456964300324
membukkit,raw,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,43.5,6.0,62.71110393572599
membukkit,raw,temporal_current,1.0,1.0,0.2,0.3,1.0,0.2,1.0,0.0,359.0,53.5,59.122020727954805
