provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,561,89,236.6818329319358,"['M001', 'M026', 'M045', 'M046', 'M047']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,389,55,67.53616605419666,"['M002', 'M003', 'M004', 'M017', 'M040']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,238,37,69.18241595849395,"['M005', 'M034', 'M035', 'M036', 'M041']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,621,97,66.45841698627919,"['M006', 'M007', 'M026', 'M045', 'M047']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,505,82,62.70695896819234,"['M007', 'M024', 'M036', 'M045', 'M046']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,445,66,68.0383329745382,"['M008', 'M020', 'M021', 'M028', 'M048']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,258,39,59.378249919973314,"['M011', 'M012', 'M031', 'M041', 'M049']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,325,46,58.01329202950001,"['M011', 'M013', 'M012', 'M036', 'M014']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,433,66,59.10558300092816,"['M015', 'M028', 'M037', 'M016', 'M045']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,54,7,61.13162497058511,['M013'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,33,5,64.29058290086687,['M011'],['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,462,69,66.57849997282028,"['M017', 'M018', 'M040', 'M044', 'M045']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,1.0,0.6,0.5,1.0,0.0,0,,5,521,77,69.57729195710272,"['M007', 'M020', 'M021', 'M022', 'M027']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,593,97,60.872458037920296,"['M007', 'M023', 'M024', 'M045', 'M047']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,625,99,62.59195797611028,"['M007', 'M025', 'M026', 'M043', 'M045']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,590,87,66.1885830340907,"['M008', 'M009', 'M010', 'M027', 'M028']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,479,76,63.00237507093698,"['M023', 'M033', 'M034', 'M044', 'M045']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,542,82,65.29266608413309,"['M023', 'M043', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,313,48,68.16749996505678,"['M029', 'M033', 'M034', 'M047', 'M049']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,211,31,60.46654097735882,"['M011', 'M013', 'M031', 'M032', 'M036']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,333,48,63.812582986429334,"['M024', 'M033', 'M034', 'M041', 'M043']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,420,63,59.990957961417735,"['M007', 'M033', 'M041', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,482,67,64.38229198101908,"['M025', 'M028', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0,1.0,5,503,73,69.26287501119077,"['M009', 'M010', 'M027', 'M028', 'M041']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,249,38,67.70808307919651,"['M005', 'M013', 'M033', 'M035', 'M036']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,329,49,55.56433298625052,"['M011', 'M028', 'M031', 'M032', 'M045']",[],[]
