provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,497.0,68.0,353.48245804198086
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,1.0,571.6666666666666,78.66666666666667,376.1608049971983
membukkit,raw,multihop,1.0,0.6666666666666666,0.4,0.41666666666666663,0.0,0.0,0.0,,511.0,74.0,377.4233540170826
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,436.5,63.0,286.3720415625721
membukkit,raw,procedure,1.0,1.0,0.2,0.2733333333333333,1.0,0.08,0.4,1.0,608.2,94.8,340.63284997828305
membukkit,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,665.0,105.0,294.0459579695016
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.3333333333333333,1.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,391.6666666666667,56.666666666666664,318.21019466345507
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,601.0,89.66666666666667,362.45531930277747
membukkit,raw,temporal_asof,1.0,1.0,0.41666666666666663,0.41666666666666663,1.0,0.0,0.0,1.0,230.5,32.5,317.40325002465397
membukkit,raw,temporal_current,0.75,0.75,0.15000000000000002,0.175,0.75,0.15000000000000002,0.75,0.0,504.5,74.0,288.9129584946204
