provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,657,94,545.8366659004241,"['M001', 'M096', 'M156', 'M216', 'M456']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,519,59,284.2463330598548,"['M002', 'M004', 'M198', 'M438', 'M498']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,539,83,298.3994160313159,"['M005', 'M052', 'M172', 'M292', 'M352']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,582,85,393.0531250080094,"['M006', 'M193', 'M433', 'M045', 'M047']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,614,97,372.6879999740049,"['M007', 'M085', 'M145', 'M205', 'M445']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,87,321.62483292631805,"['M008', 'M060', 'M120', 'M020', 'M420']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,472,71,274.11858295090497,"['M061', 'M011', 'M181', 'M241', 'M012']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,603,85,292.870125034824,"['M101', 'M137', 'M353', 'M377', 'M437']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,485,78,277.4974589701742,"['M015', 'M215', 'M275', 'M016', 'M455']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.0,0,1.0,3,292,41,344.24945805221796,"['M065', 'M077', 'M013']",['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,0.5,0.5,1.0,0.0,0,1.0,2,169,24,290.55704199709,"['M096', 'M011']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,448,65,399.90420802496374,"['M002', 'M017', 'M018', 'M040', 'M044']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.3333333333333333,0.0,0.0,0,,5,574,83,354.94250000920147,"['M007', 'M096', 'M020', 'M022', 'M396']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,572,90,348.39387494139373,"['M002', 'M133', 'M023', 'M024', 'M045']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.0,0,1.0,5,624,95,366.7556250002235,"['M205', 'M325', 'M025', 'M385', 'M421']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,690,107,366.39258405193686,"['M067', 'M163', 'M187', 'M027', 'M403']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.2,1.0,0.0,0,1.0,5,654,102,317.6072499481961,"['M055', 'M115', 'M355', 'M475', 'M044']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,501,80,304.014915949665,"['M023', 'M030', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.25,1.0,0.0,0,1.0,5,439,64,286.3370419945568,"['M087', 'M207', 'M327', 'M029', 'M447']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,351,51,327.8409999329597,"['M206', 'M266', 'M031', 'M032', 'M446']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,385,55,340.4525420628488,"['M190', 'M033', 'M034', 'M370', 'M490']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,458,62,311.1656670225784,"['M106', 'M041', 'M456', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,497,68,353.48245804198086,"['M180', 'M420', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,665,105,294.0459579695016,"['M055', 'M295', 'M355', 'M415', 'M475']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,228,36,304.3861250625923,"['M005', 'M011', 'M033', 'M035', 'M036']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,645,90,268.3579580625519,"['M204', 'M028', 'M336', 'M384', 'M444']",[],[]
