provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,561,89,264.5215420052409,"['M001', 'M026', 'M045', 'M046', 'M047']",['M001'],[]
membukkit,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,389,55,84.67462507542223,"['M002', 'M003', 'M004', 'M017', 'M040']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.4,2,1.0,5,238,37,53.009624942205846,"['M005', 'M034', 'M035', 'M036', 'M041']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,621,97,55.301374988630414,"['M006', 'M007', 'M026', 'M045', 'M047']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,505,82,59.290042030625045,"['M007', 'M024', 'M036', 'M045', 'M046']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,445,66,63.92987503204495,"['M008', 'M020', 'M021', 'M028', 'M048']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,258,39,43.70404104702175,"['M011', 'M012', 'M031', 'M041', 'M049']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,1.0,1.0,0.2,0.2,1.0,0.2,1,0.0,5,325,46,52.45466704946011,"['M011', 'M013', 'M012', 'M036', 'M014']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,433,66,61.93399999756366,"['M015', 'M028', 'M037', 'M016', 'M045']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,54,7,44.89895794540644,['M013'],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0,1.0,1,33,5,60.522499959915876,['M011'],['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,462,69,59.7347499569878,"['M017', 'M018', 'M040', 'M044', 'M045']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,1.0,0.6,0.5,1.0,0.0,0,,5,521,77,60.33445906359702,"['M007', 'M020', 'M021', 'M022', 'M027']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,593,97,59.167707921005785,"['M007', 'M023', 'M024', 'M045', 'M047']",['M023'],['M024']
membukkit,raw,Q015,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,625,99,58.83795802947134,"['M007', 'M025', 'M026', 'M043', 'M045']",['M025'],['M026']
membukkit,raw,Q016,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,590,87,59.46879193652421,"['M008', 'M009', 'M010', 'M027', 'M028']",['M027'],['M028']
membukkit,raw,Q017,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,479,76,56.18945800233632,"['M023', 'M033', 'M034', 'M044', 'M045']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,542,82,60.634583001956344,"['M023', 'M043', 'M045', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,313,48,71.56470802146941,"['M029', 'M033', 'M034', 'M047', 'M049']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,211,31,45.2737919986248,"['M011', 'M013', 'M031', 'M032', 'M036']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.5,1.0,0.2,1,1.0,5,333,48,45.39049998857081,"['M024', 'M033', 'M034', 'M041', 'M043']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,420,63,60.72883389424533,"['M007', 'M033', 'M041', 'M042', 'M043']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,482,67,53.724750061519444,"['M025', 'M028', 'M041', 'M042', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0,1.0,5,503,73,48.03483304567635,"['M009', 'M010', 'M027', 'M028', 'M041']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,249,38,59.84737502876669,"['M005', 'M013', 'M033', 'M035', 'M036']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,329,49,65.29325002338737,"['M011', 'M028', 'M031', 'M032', 'M045']",[],[]
