provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,482.0,67.0,53.60554193612188
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,396.0,60.333333333333336,124.57501403211306
membukkit,raw,multihop,1.0,0.8333333333333333,0.5,0.75,0.5,0.0,0.0,,491.5,73.0,59.404520550742745
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,289.0,43.5,58.42691694851965
membukkit,raw,procedure,1.0,1.0,0.2,0.35,1.0,0.2,1.0,1.0,565.8,88.2,59.168566786684096
membukkit,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0.0,1.0,503.0,73.0,47.96141607221216
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.5833333333333334,1.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,285.6666666666667,42.333333333333336,55.91720800536374
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,523.6666666666666,81.66666666666667,59.575430660819016
membukkit,raw,temporal_asof,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,43.5,6.0,51.86789593426511
membukkit,raw,temporal_current,1.0,1.0,0.2,0.3,1.0,0.2,1.0,0.0,359.0,53.5,54.29827078478411
