provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
membukkit,raw,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0.0,,497.0,68.0,251.54383294284344
membukkit,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,1.0,571.6666666666666,78.66666666666667,322.269819288825
membukkit,raw,multihop,1.0,0.6666666666666666,0.4,0.41666666666666663,0.0,0.0,0.0,,511.0,74.0,259.8956670262851
membukkit,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,437.0,63.0,224.46012496948242
membukkit,raw,procedure,1.0,1.0,0.2,0.2733333333333333,1.0,0.08,0.4,1.0,608.0,94.8,251.90225839614868
membukkit,raw,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,665.0,105.0,225.00154189765453
membukkit,raw,scope,1.0,1.0,0.20000000000000004,0.27777777777777773,1.0,0.13333333333333333,0.6666666666666666,0.6666666666666666,392.0,56.666666666666664,257.7307920049255
membukkit,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,601.0,89.66666666666667,275.1903753572454
membukkit,raw,temporal_asof,1.0,1.0,0.41666666666666663,0.41666666666666663,1.0,0.0,0.0,1.0,230.5,32.5,245.86412496864796
membukkit,raw,temporal_current,0.75,0.75,0.15000000000000002,0.175,0.75,0.15000000000000002,0.75,0.0,504.5,74.0,227.5218017748557
