provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,52.134446000309254,"['M096', 'M156', 'M216', 'M276', 'M336']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,1.681239000390633,"['M072', 'M132', 'M192', 'M252', 'M312']",['M002'],[]
membukkit,raw,Q003,exact,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,457,71,1.4836689997537178,"['M005', 'M064', 'M124', 'M036', 'M424']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,543,76,1.3995120007166406,"['M006', 'M099', 'M027', 'M030', 'M399']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,381,63,1.4032379995114752,"['M007', 'M011', 'M012', 'M039', 'M048']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,458,75,1.3922210000600899,"['M007', 'M008', 'M011', 'M012', 'M048']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,409,67,1.3773079999737092,"['M004', 'M007', 'M011', 'M012', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,599,85,1.3772379998044926,"['M077', 'M257', 'M317', 'M473', 'M497']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,1.0,1.0,0.2,0.2,1.0,0.0,0,1.0,5,532,84,1.6230410001298878,"['M083', 'M203', 'M263', 'M419', 'M016']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,1.0,1.0,0.5,0.5,1.0,0.0,0,1.0,2,172,24,1.3199810000514844,"['M089', 'M013']",['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,161,27,1.3948240002719103,"['M010', 'M015']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,1.0,0.6,0.5,1.0,0.0,0,,5,502,69,1.3436669996735873,"['M177', 'M017', 'M018', 'M019', 'M237']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0,,5,447,60,1.3089250005577924,"['M020', 'M021', 'M022', 'M248', 'M024']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,95,1.415105999512889,"['M072', 'M132', 'M192', 'M312', 'M492']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,595,90,1.337707999482518,"['M061', 'M121', 'M181', 'M241', 'M481']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,675,105,1.6601769993940252,"['M067', 'M127', 'M187', 'M307', 'M487']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,457,71,1.4321919998110388,"['M005', 'M052', 'M172', 'M036', 'M352']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,529,78,1.3365960003284272,"['M027', 'M028', 'M040', 'M046', 'M047']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,446,61,1.3451499999064254,"['M006', 'M099', 'M029', 'M030', 'M399']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,435,63,1.5868959999352228,"['M089', 'M269', 'M031', 'M032', 'M449']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,388,55,1.3413040005616494,"['M082', 'M094', 'M033', 'M034', 'M454']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,455,64,1.379921999614453,"['M075', 'M315', 'M029', 'M435', 'M495']",['M042'],['M041']
membukkit,raw,Q023,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,352,48,1.3533309993363218,"['M002', 'M003', 'M029', 'M041', 'M042']",['M043'],[]
membukkit,raw,Q024,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0,1.0,5,644,99,1.2961450001967023,"['M009', 'M055', 'M115', 'M175', 'M475']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,382,57,1.7700429998512845,"['M005', 'M053', 'M035', 'M036', 'M473']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,575,55,1.4496779995170073,"['M210', 'M270', 'M330', 'M390', 'M450']",[],[]
