provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,135,18,44.61265999998432,['M453'],['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,599,78,1.0321660001864075,"['M001', 'M068', 'M104', 'M452', 'M476']",['M002'],[]
membukkit,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,4,490,75,0.8932959999583545,"['M220', 'M323', 'M328', 'M460']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0,,3,244,32,0.8775530004641041,"['M006', 'M011', 'M020']",['M006'],[]
membukkit,raw,Q005,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,523,76,0.9573329998602276,"['M140', 'M292', 'M323', 'M036', 'M413']",['M007'],[]
membukkit,raw,Q006,semantic,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,120,18,1.0843250001926208,['M457'],['M008'],[]
membukkit,raw,Q007,temporal_current,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,444,59,0.9097509991988773,"['M056', 'M104', 'M011', 'M036', 'M485']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,516,74,0.9416490001967759,"['M101', 'M233', 'M032', 'M389', 'M449']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.868509000611084,[],['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.8346089998667594,[],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,112,15,0.7910430003903457,['M009'],['M011'],['M012']
membukkit,raw,Q012,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,246,39,0.9994160000132979,"['M263', 'M475']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,0.0,0.0,0.0,0.0,0.0,0.0,0,,4,413,60,0.8794260002105148,"['M001', 'M056', 'M148', 'M033']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,567,74,0.9965019999071956,"['M019', 'M344', 'M368', 'M452', 'M455']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,374,57,0.9042230003615259,"['M008', 'M448', 'M469']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,4,485,64,0.7625999996889732,"['M272', 'M356', 'M488', 'M496']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,256,39,0.7871670004533371,"['M008', 'M388']",['M044'],['M045']
membukkit,raw,Q018,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,0.8206069996958831,[],['M046'],['M047']
membukkit,raw,Q019,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,220,31,0.8936569993238663,"['M173', 'M495']",['M029'],['M030']
membukkit,raw,Q020,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,350,52,0.7831199991414906,"['M089', 'M101', 'M335']",['M032'],['M031']
membukkit,raw,Q021,scope,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,340,49,0.8240829993155785,"['M113', 'M490', 'M496']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,4,421,61,0.9136070002568886,"['M212', 'M034', 'M364', 'M436']",['M042'],['M041']
membukkit,raw,Q023,conflict,1.0,1.0,0.2,0.2,1.0,0.0,0,,5,430,62,0.874318000569474,"['M280', 'M031', 'M034', 'M376', 'M043']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,137,19,0.8892109999578679,['M468'],"['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,4,447,62,1.1024010000255657,"['M305', 'M014', 'M377', 'M466']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,3,369,53,0.8019589995456045,"['M113', 'M453', 'M467']",[],[]
