provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
membukkit,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,44.11719000017911,"['M096', 'M156', 'M216', 'M276', 'M456']",['M001'],[]
membukkit,raw,Q002,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.6873639997356804,"['M091', 'M271', 'M331', 'M391', 'M451']",['M002'],[]
membukkit,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,627,95,1.4457199995376868,"['M220', 'M304', 'M364', 'M412', 'M448']",['M005'],"['M035', 'M036']"
membukkit,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,604,89,1.2774549995810958,"['M006', 'M285', 'M025', 'M026', 'M030']",['M006'],[]
membukkit,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,682,97,1.28941399998439,"['M007', 'M093', 'M153', 'M333', 'M453']",['M007'],[]
membukkit,raw,Q006,semantic,1.0,1.0,0.2,0.5,1.0,0.0,0,,5,449,73,1.2639060005312786,"['M007', 'M008', 'M011', 'M020', 'M048']",['M008'],[]
membukkit,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,449,63,1.2295839997022995,"['M011', 'M012', 'M273', 'M464', 'M048']",['M012'],['M011']
membukkit,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,597,85,1.2896239995825454,"['M113', 'M257', 'M269', 'M413', 'M473']",['M014'],['M013']
membukkit,raw,Q009,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,90,1.3241160004326957,"['M263', 'M323', 'M359', 'M419', 'M431']",['M016'],['M015']
membukkit,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,0,0,1.0980349998135353,[],['M013'],['M014']
membukkit,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,2,205,30,1.22270399970148,"['M009', 'M010']",['M011'],['M012']
membukkit,raw,Q012,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,514,67,1.3593399999081157,"['M017', 'M019', 'M296', 'M476', 'M042']","['M017', 'M018', 'M019']",[]
membukkit,raw,Q013,multihop,1.0,0.6666666666666666,0.4,0.5,0.0,0.0,0,,5,507,68,1.293359000555938,"['M212', 'M020', 'M022', 'M428', 'M045']","['M020', 'M021', 'M022']",[]
membukkit,raw,Q014,procedure,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,618,85,1.2371659995551454,"['M104', 'M212', 'M023', 'M024', 'M464']",['M023'],['M024']
membukkit,raw,Q015,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,593,90,1.1985069995716913,"['M289', 'M361', 'M409', 'M421', 'M481']",['M025'],['M026']
membukkit,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.1720069996954408,"['M211', 'M271', 'M331', 'M391', 'M451']",['M027'],['M028']
membukkit,raw,Q017,procedure,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,548,83,1.3651679992108257,"['M088', 'M316', 'M036', 'M412', 'M448']",['M044'],['M045']
membukkit,raw,Q018,procedure,1.0,1.0,0.2,0.2,1.0,0.0,0,1.0,5,592,84,1.2093430004824768,"['M117', 'M297', 'M028', 'M417', 'M046']",['M046'],['M047']
membukkit,raw,Q019,scope,1.0,1.0,0.2,0.3333333333333333,1.0,0.2,1,1.0,5,400,58,1.1545709994607023,"['M063', 'M123', 'M029', 'M030', 'M375']",['M029'],['M030']
membukkit,raw,Q020,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,0.0,5,437,63,1.199468000777415,"['M269', 'M329', 'M031', 'M032', 'M473']",['M032'],['M031']
membukkit,raw,Q021,scope,1.0,1.0,0.2,0.25,1.0,0.2,1,1.0,5,391,55,1.332418999481888,"['M094', 'M154', 'M334', 'M033', 'M034']",['M033'],['M034']
membukkit,raw,Q022,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,1.158375999693817,"['M135', 'M195', 'M255', 'M315', 'M435']",['M042'],['M041']
membukkit,raw,Q023,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,500,70,1.1650870001176372,"['M075', 'M195', 'M255', 'M435', 'M495']",['M043'],[]
membukkit,raw,Q024,protocol,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,670,105,1.2072399995304295,"['M091', 'M151', 'M331', 'M391', 'M451']","['M009', 'M010']","['M037', 'M038']"
membukkit,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,597,85,1.2054369999532355,"['M113', 'M173', 'M269', 'M413', 'M473']",[],[]
membukkit,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,500,70,1.1999690004813601,"['M315', 'M375', 'M435', 'M483', 'M495']",[],[]
