provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
perseus_vault,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,462.0,63.0,15.077625052072108
perseus_vault,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,412.6666666666667,62.333333333333336,44.15461098930488
perseus_vault,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,395.5,55.5,15.175395528785884
perseus_vault,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,408.0,61.0,15.077500022016466
perseus_vault,raw,procedure,1.0,1.0,0.2,0.9,1.0,0.2,1.0,1.0,560.2,85.0,15.165033424273133
perseus_vault,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,15.378250041976571
perseus_vault,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,143.66666666666666,22.0,17.297110985964537
perseus_vault,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,513.0,79.66666666666667,15.281777984152237
perseus_vault,raw,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1.0,0.5,394.5,57.0,15.637375006917864
perseus_vault,raw,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,366.5,52.0,15.056083211675286
