provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
perseus_vault,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,462.0,63.0,15.195916988886893
perseus_vault,raw,exact,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,412.6666666666667,62.333333333333336,41.26374993938953
perseus_vault,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,395.5,55.5,15.161937510129064
perseus_vault,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,408.0,61.0,14.991292031481862
perseus_vault,raw,procedure,1.0,1.0,0.2,0.8,1.0,0.2,1.0,0.8,560.2,85.0,15.161808393895626
perseus_vault,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.2,1.0,1.0,530.0,77.0,15.270582982338965
perseus_vault,raw,scope,1.0,1.0,0.3333333333333333,1.0,1.0,0.0,0.0,1.0,143.66666666666666,22.0,17.203749739564955
perseus_vault,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,513.0,79.66666666666667,15.306236299996575
perseus_vault,raw,temporal_asof,1.0,1.0,0.2,0.5,1.0,0.2,1.0,0.5,394.5,57.0,15.83033351926133
perseus_vault,raw,temporal_current,1.0,1.0,0.2,0.875,1.0,0.2,1.0,0.75,366.5,52.0,15.087958483491093
