provider,mode,query_id,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_count,returned_chars,returned_words,latency_ms,retrieved_ids,relevant_ids,prohibited_ids
bm25,raw,Q001,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,614,94,1.507664000200748,"['M001', 'M496', 'M484', 'M472', 'M460']",['M001'],[]
bm25,raw,Q002,exact,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,442,68,1.5748109999549342,"['M002', 'M023', 'M024', 'M011', 'M021']",['M002'],[]
bm25,raw,Q003,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,628,95,1.1520339999151474,"['M496', 'M484', 'M472', 'M460', 'M448']",['M005'],"['M035', 'M036']"
bm25,raw,Q004,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,677,106,2.2303199998532364,"['M006', 'M007', 'M045', 'M025', 'M026']",['M006'],[]
bm25,raw,Q005,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,607,96,2.1334450002541416,"['M007', 'M045', 'M027', 'M046', 'M047']",['M007'],[]
bm25,raw,Q006,semantic,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,626,94,1.488502000029257,"['M008', 'M007', 'M006', 'M044', 'M047']",['M008'],[]
bm25,raw,Q007,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,296,45,1.4711649996570486,"['M011', 'M012', 'M048', 'M021', 'M041']",['M012'],['M011']
bm25,raw,Q008,temporal_current,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,563,78,1.4515840002786717,"['M022', 'M497', 'M485', 'M473', 'M461']",['M014'],['M013']
bm25,raw,Q009,temporal_current,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,341,52,1.3423289997263055,"['M016', 'M015', 'M039', 'M050', 'M022']",['M016'],['M015']
bm25,raw,Q010,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,594,90,0.7375410000349802,"['M217', 'M205', 'M193', 'M181', 'M169']",['M013'],['M014']
bm25,raw,Q011,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,561,84,0.45864399999118177,"['M010', 'M009', 'M193', 'M181', 'M169']",['M011'],['M012']
bm25,raw,Q012,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0,,5,407,62,2.363764000165247,"['M017', 'M040', 'M045', 'M039', 'M494']","['M017', 'M018', 'M019']",[]
bm25,raw,Q013,multihop,1.0,0.6666666666666666,0.4,1.0,0.0,0.0,0,,5,509,74,2.1004619998166163,"['M022', 'M020', 'M045', 'M493', 'M481']","['M020', 'M021', 'M022']",[]
bm25,raw,Q014,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,554,80,1.519611999810877,"['M023', 'M024', 'M019', 'M002', 'M500']",['M023'],['M024']
bm25,raw,Q015,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,590,94,1.8845570002667955,"['M025', 'M026', 'M008', 'M044', 'M050']",['M025'],['M026']
bm25,raw,Q016,procedure,0.0,0.0,0.0,0.0,0.0,0.2,1,0.0,5,578,84,1.8141139998988365,"['M028', 'M046', 'M044', 'M009', 'M499']",['M027'],['M028']
bm25,raw,Q017,procedure,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,609,93,1.996546000100352,"['M044', 'M045', 'M496', 'M484', 'M472']",['M044'],['M045']
bm25,raw,Q018,procedure,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,551,84,1.7184210000777966,"['M047', 'M046', 'M045', 'M493', 'M481']",['M046'],['M047']
bm25,raw,Q019,scope,1.0,1.0,0.2,1.0,1.0,0.0,0,1.0,5,484,70,1.3592259997494693,"['M029', 'M008', 'M495', 'M483', 'M471']",['M029'],['M030']
bm25,raw,Q020,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,269,41,1.0935810000773927,"['M032', 'M031', 'M034', 'M030', 'M494']",['M032'],['M031']
bm25,raw,Q021,scope,1.0,1.0,0.2,1.0,1.0,0.2,1,1.0,5,427,65,1.4101970000410802,"['M033', 'M034', 'M026', 'M490', 'M478']",['M033'],['M034']
bm25,raw,Q022,temporal_current,1.0,1.0,0.2,0.5,1.0,0.2,1,0.0,5,404,60,1.444522999918263,"['M041', 'M042', 'M012', 'M008', 'M034']",['M042'],['M041']
bm25,raw,Q023,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0,,5,423,63,1.087329999791109,"['M043', 'M026', 'M042', 'M034', 'M033']",['M043'],[]
bm25,raw,Q024,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1,1.0,5,547,82,1.3856380001016078,"['M027', 'M010', 'M028', 'M037', 'M008']","['M009', 'M010']","['M037', 'M038']"
bm25,raw,Q025,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,400,60,1.858534999882977,"['M004', 'M036', 'M005', 'M497', 'M485']",[],[]
bm25,raw,Q026,negative,0.0,1.0,0.0,0.0,0.0,0.0,0,,5,421,68,1.20878499956234,"['M050', 'M048', 'M016', 'M010', 'M044']",[],[]
dense_lsa,raw,Q001,exact,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,680,95,0.8529849997103156,"['M456', 'M396', 'M336', 'M276', 'M216']",['M001'],[]
