provider,mode,category,hit_at_k,recall_at_k,precision_at_k,reciprocal_rank,all_relevant_at_k,prohibited_at_k,prohibited_count,useful_before_harmful,returned_chars,returned_words,latency_ms
bm25,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,423.0,63.0,1.127081999584334
bm25,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,561.3333333333334,85.66666666666667,1.422902000134248
bm25,raw,multihop,1.0,0.5,0.30000000000000004,1.0,0.0,0.0,0.0,,458.0,68.0,2.252286999464559
bm25,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,410.5,64.0,1.5042305003589718
bm25,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.2,1.0,0.6,576.4,87.0,1.8301092002730002
bm25,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.2,1.0,1.0,547.0,82.0,1.4154009995763772
bm25,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,393.3333333333333,58.666666666666664,1.3402500001878555
bm25,raw,semantic,1.0,1.0,0.20000000000000004,1.0,1.0,0.0,0.0,,636.6666666666666,98.66666666666667,1.951218000006823
bm25,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,577.5,87.0,0.6080389998714963
bm25,raw,temporal_current,0.75,0.75,0.15000000000000002,0.5,0.75,0.15000000000000002,0.75,0.3333333333333333,401.0,58.75,1.4336837496102817
dense_lsa,raw,conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,352.0,48.0,0.4814320000150474
dense_lsa,raw,exact,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.16666666666666666,0.3333333333333333,0.06666666666666667,0.3333333333333333,0.0,604.0,87.0,0.6083043332788899
dense_lsa,raw,multihop,1.0,1.0,0.6,1.0,1.0,0.0,0.0,,474.5,64.5,0.5062494997218892
dense_lsa,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,191.0,28.5,0.5243064997557667
dense_lsa,raw,procedure,0.2,0.2,0.04,0.2,0.2,0.04,0.2,1.0,586.2,87.8,0.48572619998594746
dense_lsa,raw,protocol,1.0,0.5,0.2,1.0,0.0,0.0,0.0,1.0,644.0,99.0,0.4738200004794635
dense_lsa,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,423.0,59.666666666666664,0.4903016664078071
dense_lsa,raw,semantic,1.0,1.0,0.20000000000000004,0.7333333333333334,1.0,0.0,0.0,,460.6666666666667,71.33333333333333,0.5301623332343297
dense_lsa,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,515.0,78.0,0.42872150015682564
dense_lsa,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.05,0.25,0.5,498.75,75.0,0.4839002499466005
habitus,raw,conflict,1.0,1.0,0.2,1.0,1.0,0.0,0.0,,526.0,75.0,171.27450899988617
habitus,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,585.0,86.66666666666667,179.53528500008056
habitus,raw,multihop,1.0,0.3333333333333333,0.2,1.0,0.0,0.0,0.0,,538.5,75.5,172.153562999938
habitus,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,500.0,74.5,179.6154584994838
habitus,raw,procedure,0.8,0.8,0.16,0.7,0.8,0.04,0.2,0.75,618.6,90.0,176.48935060005897
habitus,raw,protocol,1.0,0.5,0.2,0.5,0.0,0.0,0.0,1.0,601.0,91.0,180.858052000076
habitus,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,433.0,61.0,176.06052533331726
habitus,raw,semantic,1.0,1.0,0.20000000000000004,0.7777777777777777,1.0,0.0,0.0,,650.3333333333334,98.33333333333333,177.75869533367464
habitus,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,518.0,75.5,175.53814800021428
habitus,raw,temporal_current,0.75,0.75,0.15000000000000002,0.625,0.75,0.0,0.0,1.0,503.75,71.5,174.18556999996326
hybrid_rrf,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,485.0,66.0,18.69533900025999
hybrid_rrf,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,,624.3333333333334,93.66666666666667,2.145690666717807
hybrid_rrf,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,461.0,67.0,2.8447924996726215
hybrid_rrf,raw,negative,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,430.0,66.5,2.128564499798813
hybrid_rrf,raw,procedure,0.4,0.4,0.08,0.3,0.4,0.08,0.4,0.5,615.8,93.6,2.4717521997445147
hybrid_rrf,raw,protocol,1.0,1.0,0.4,1.0,1.0,0.0,0.0,1.0,594.0,88.0,2.3164490003182436
hybrid_rrf,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.13333333333333333,0.6666666666666666,1.0,382.6666666666667,54.666666666666664,2.143910999620857
hybrid_rrf,raw,semantic,1.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.0,0.0,,605.6666666666666,94.0,2.6189126665485674
hybrid_rrf,raw,temporal_asof,0.5,0.5,0.1,0.5,0.5,0.0,0.0,1.0,519.0,76.5,1.1904489997505152
hybrid_rrf,raw,temporal_current,0.5,0.5,0.1,0.375,0.5,0.15000000000000002,0.75,0.3333333333333333,431.25,64.0,2.0704014998500497
tfidf_cosine,raw,conflict,1.0,1.0,0.2,0.5,1.0,0.0,0.0,,330.0,46.0,0.34665699968172703
tfidf_cosine,raw,exact,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.5,0.6666666666666666,0.0,0.0,,613.0,88.66666666666667,0.463420666771223
tfidf_cosine,raw,multihop,1.0,0.8333333333333333,0.5,1.0,0.5,0.0,0.0,,488.0,63.5,0.38519999998243293
tfidf_cosine,raw,negative,0.0,1.0,0.5,0.5,0.5,0.0,0.0,,247.0,38.0,0.4461280000214174
tfidf_cosine,raw,procedure,0.8,0.8,0.22000000000000003,0.7,0.8,0.18,0.6,0.75,555.0,83.8,0.3844102002403815
tfidf_cosine,raw,protocol,1.0,1.0,0.4,0.5,1.0,0.2,1.0,1.0,530.0,77.0,0.34910099930129945
tfidf_cosine,raw,scope,1.0,1.0,0.20000000000000004,1.0,1.0,0.20000000000000004,1.0,1.0,362.0,52.666666666666664,0.35653833341105684
tfidf_cosine,raw,semantic,1.0,1.0,0.5833333333333334,1.0,1.0,0.0,0.0,,305.6666666666667,48.0,0.36109533357375767
tfidf_cosine,raw,temporal_asof,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,399.5,57.5,0.330161500187387
tfidf_cosine,raw,temporal_current,0.75,0.75,0.18333333333333335,0.625,0.75,0.18333333333333335,0.75,0.6666666666666666,366.75,53.0,0.3456527499565709
