provider,mode,k,distractors,status,reason,n_cases,hit@1,recall@1,precision@1,mrr,all_relevant@1,prohibited@1,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms,hit_at_k,recall_at_k,precision_at_k,all_relevant_at_k,prohibited_at_k,hit@3,recall@3,precision@3,all_relevant@3,prohibited@3,hit@5,recall@5,precision@5,all_relevant@5,prohibited@5,hit@8,recall@8,precision@8,all_relevant@8,prohibited@8,hit@10,recall@10,precision@10,all_relevant@10,prohibited@10
bm25,raw,1,0,ok,,26.0,0.7916666666666666,0.7152777777777778,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.125,0.125,0.125,0.7857142857142857,0.0,87.11538461538461,12.961538461538462,0.1570987307366942,0.7916666666666666,0.7152777777777778,0.7916666666666666,0.6666666666666666,0.125,,,,,,,,,,,,,,,,,,,,
tfidf_cosine,raw,1,0,ok,,26.0,0.6666666666666666,0.5902777777777778,0.6666666666666666,0.6666666666666666,0.5416666666666666,0.125,0.125,0.125,0.7692307692307693,0.5,79.96153846153847,11.923076923076923,0.27628611538742776,0.6666666666666666,0.5902777777777778,0.6666666666666666,0.5416666666666666,0.125,,,,,,,,,,,,,,,,,,,,
dense_lsa,raw,1,0,ok,,26.0,0.75,0.6736111111111112,0.75,0.75,0.625,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8461538461538461,0.5,84.07692307692308,12.615384615384615,0.3681918075856699,0.75,0.6736111111111112,0.75,0.625,0.08333333333333333,,,,,,,,,,,,,,,,,,,,
hybrid_rrf,raw,1,0,ok,,26.0,0.7916666666666666,0.7152777777777778,0.7916666666666666,0.7916666666666666,0.6666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.8461538461538461,0.0,85.61538461538461,12.846153846153847,0.6438391923298835,0.7916666666666666,0.7152777777777778,0.7916666666666666,0.6666666666666666,0.08333333333333333,,,,,,,,,,,,,,,,,,,,
bm25,raw,3,0,ok,,26.0,,,,0.8333333333333334,,,0.4166666666666667,0.4583333333333333,0.7857142857142857,0.0,262.9230769230769,40.26923076923077,0.16602565406523914,0.875,0.7986111111111112,0.2986111111111111,0.75,0.15277777777777776,0.875,0.7986111111111112,0.2986111111111111,0.75,0.15277777777777776,,,,,,,,,,,,,,,
tfidf_cosine,raw,3,0,ok,,26.0,,,,0.7708333333333334,,,0.4583333333333333,0.4583333333333333,0.7142857142857143,0.5,207.5,30.76923076923077,0.9422928074994931,0.875,0.8263888888888888,0.4305555555555555,0.75,0.1597222222222222,0.875,0.8263888888888888,0.4305555555555555,0.75,0.1597222222222222,,,,,,,,,,,,,,,
dense_lsa,raw,3,0,ok,,26.0,,,,0.8263888888888888,,,0.4166666666666667,0.4583333333333333,0.8,0.5,250.15384615384616,37.46153846153846,0.37028561557515505,0.9166666666666666,0.9027777777777778,0.3611111111111111,0.875,0.15277777777777776,0.9166666666666666,0.9027777777777778,0.3611111111111111,0.875,0.15277777777777776,,,,,,,,,,,,,,,
hybrid_rrf,raw,3,0,ok,,26.0,,,,0.8472222222222222,,,0.5,0.5416666666666666,0.7857142857142857,0.0,263.6923076923077,40.15384615384615,0.8026467692336434,0.9166666666666666,0.8541666666666666,0.3194444444444444,0.7916666666666666,0.18055555555555555,0.9166666666666666,0.8541666666666666,0.3194444444444444,0.7916666666666666,0.18055555555555555,,,,,,,,,,,,,,,
bm25,raw,5,0,ok,,26.0,,,,0.84375,,,0.5833333333333334,0.625,0.8,0.0,410.53846153846155,62.38461538461539,0.16928884577702355,0.9166666666666666,0.8541666666666666,0.20416666666666666,0.7916666666666666,0.125,,,,,,0.9166666666666666,0.8541666666666666,0.20416666666666666,0.7916666666666666,0.125,,,,,,,,,,
tfidf_cosine,raw,5,0,ok,,26.0,,,,0.7708333333333334,,,0.5833333333333334,0.625,0.6666666666666666,0.5,297.6923076923077,44.15384615384615,0.27763976917273026,0.875,0.8611111111111112,0.37777777777777777,0.8333333333333334,0.1527777777777778,,,,,,0.875,0.8611111111111112,0.37777777777777777,0.8333333333333334,0.1527777777777778,,,,,,,,,,
dense_lsa,raw,5,0,ok,,26.0,,,,0.8368055555555556,,,0.5833333333333334,0.625,0.8,0.5,420.5769230769231,61.61538461538461,0.3639954614370184,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.9583333333333334,0.125,,,,,,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.9583333333333334,0.125,,,,,,,,,,
hybrid_rrf,raw,5,0,ok,,26.0,,,,0.8555555555555555,,,0.5833333333333334,0.625,0.7333333333333333,0.0,442.88461538461536,65.92307692307692,1.552226077085204,0.9583333333333334,0.9444444444444444,0.225,0.9166666666666666,0.125,,,,,,0.9583333333333334,0.9444444444444444,0.225,0.9166666666666666,0.125,,,,,,,,,,
bm25,raw,8,0,ok,,26.0,,,,0.84375,,,0.5833333333333334,0.625,0.8,0.0,631.8461538461538,94.57692307692308,0.20732869227056375,0.9166666666666666,0.875,0.14285714285714285,0.8333333333333334,0.07886904761904762,,,,,,,,,,,0.9166666666666666,0.875,0.14285714285714285,0.8333333333333334,0.07886904761904762,,,,,
tfidf_cosine,raw,8,0,ok,,26.0,,,,0.7847222222222222,,,0.5833333333333334,0.625,0.6666666666666666,0.5,375.65384615384613,55.34615384615385,0.3218461151845986,0.9583333333333334,0.9444444444444444,0.3740079365079365,0.9166666666666666,0.13234126984126984,,,,,,,,,,,0.9583333333333334,0.9444444444444444,0.3740079365079365,0.9166666666666666,0.13234126984126984,,,,,
dense_lsa,raw,8,0,ok,,26.0,,,,0.8368055555555556,,,0.5833333333333334,0.6666666666666666,0.8,0.5,672.1153846153846,99.03846153846153,0.4085086538207878,0.9583333333333334,0.9583333333333334,0.14583333333333334,0.9583333333333334,0.08333333333333333,,,,,,,,,,,0.9583333333333334,0.9583333333333334,0.14583333333333334,0.9583333333333334,0.08333333333333333,,,,,
hybrid_rrf,raw,8,0,ok,,26.0,,,,0.8555555555555555,,,0.5833333333333334,0.625,0.7333333333333333,0.0,711.3846153846154,105.73076923076923,1.3909368078832183,0.9583333333333334,0.9444444444444444,0.140625,0.9166666666666666,0.078125,,,,,,,,,,,0.9583333333333334,0.9444444444444444,0.140625,0.9166666666666666,0.078125,,,,,
bm25,raw,10,0,ok,,26.0,,,,0.8479166666666667,,,0.5833333333333334,0.625,0.8,0.0,744.8461538461538,112.07692307692308,0.1735417693523162,0.9583333333333334,0.9305555555555556,0.13382936507936508,0.875,0.0677579365079365,,,,,,,,,,,,,,,,0.9583333333333334,0.9305555555555556,0.13382936507936508,0.875,0.0677579365079365
tfidf_cosine,raw,10,0,ok,,26.0,,,,0.7847222222222222,,,0.5833333333333334,0.625,0.6666666666666666,0.5,390.6923076923077,57.73076923076923,0.3002034999763754,0.9583333333333334,0.9444444444444444,0.37238756613756613,0.9166666666666666,0.1296792328042328,,,,,,,,,,,,,,,,0.9583333333333334,0.9444444444444444,0.37238756613756613,0.9166666666666666,0.1296792328042328
dense_lsa,raw,10,0,ok,,26.0,,,,0.8368055555555556,,,0.5833333333333334,0.6666666666666666,0.8,0.5,862.1923076923077,126.84615384615384,0.34546915384663196,0.9583333333333334,0.9583333333333334,0.11666666666666667,0.9583333333333334,0.06666666666666667,,,,,,,,,,,,,,,,0.9583333333333334,0.9583333333333334,0.11666666666666667,0.9583333333333334,0.06666666666666667
hybrid_rrf,raw,10,0,ok,,26.0,,,,0.8555555555555555,,,0.5833333333333334,0.6666666666666666,0.7333333333333333,0.0,880.0,131.30769230769232,1.6976898078400364,0.9583333333333334,0.9444444444444444,0.1125,0.9166666666666666,0.06666666666666667,,,,,,,,,,,,,,,,0.9583333333333334,0.9444444444444444,0.1125,0.9166666666666666,0.06666666666666667
